Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,367.0,417.0,436.0,466.0,487.0,533.0,580.0,635.0,685.0,711.0,685.0
Gross Margin %,19.1,18.8,17.8,18.2,16.4,17.8,18.3,17.9,18.5,0.4,4.3
Operating Income GBP Mil,47.0,54.0,53.0,59.0,49.0,66.0,75.0,87.0,89.0,-38.0,-12.0
Operating Margin %,12.8,12.9,12.1,12.6,10.1,12.5,12.9,13.7,13.0,-5.3,-1.8
Net Income GBP Mil,29.0,32.0,37.0,40.0,34.0,48.0,56.0,67.0,69.0,-40.0,-17.0
Earnings Per Share GBP,0.14,0.16,0.19,0.2,0.17,0.24,0.28,0.33,0.34,-0.2,-0.08
Dividends GBP,0.06,0.07,0.07,0.08,0.11,0.11,0.13,0.15,0.16,0.17,0.17
Payout Ratio % *,42.0,45.6,41.0,40.5,40.5,45.7,46.2,42.4,55.0,198.0,
Shares Mil,197.0,200.0,198.0,200.0,200.0,200.0,201.0,201.0,201.0,201.0,202.0
Book Value Per Share * GBP,0.39,0.48,0.59,0.73,0.71,0.92,1.02,1.22,1.36,1.19,0.95
Operating Cash Flow GBP Mil,60.0,60.0,61.0,67.0,74.0,85.0,98.0,105.0,117.0,105.0,97.0
Cap Spending GBP Mil,-47.0,-47.0,-32.0,-32.0,-44.0,-55.0,-77.0,-70.0,-75.0,-65.0,-48.0
Free Cash Flow GBP Mil,13.0,14.0,29.0,35.0,31.0,30.0,21.0,35.0,42.0,40.0,49.0
Free Cash Flow Per Share * GBP,0.06,0.07,0.15,0.18,0.18,0.15,0.18,0.1,0.23,0.17,
Working Capital GBP Mil,-68.0,-66.0,-68.0,-67.0,-63.0,-65.0,-80.0,-92.0,-98.0,-90.0,
