Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3490.0,3732.0,3203.0,3793.0,4527.0,5055.0,5585.0,6165.0,6188.0,6555.0,6920.0
Gross Margin %,48.8,43.8,44.7,39.3,37.3,36.1,36.1,45.4,47.0,45.8,44.9
Operating Income USD Mil,369.0,358.0,248.0,348.0,444.0,530.0,577.0,632.0,716.0,721.0,672.0
Operating Margin %,10.6,9.6,7.7,9.2,9.8,10.5,10.3,10.2,11.6,11.0,9.7
Net Income USD Mil,213.0,201.0,136.0,200.0,257.0,310.0,342.0,375.0,427.0,432.0,419.0
Earnings Per Share USD,1.55,1.56,1.05,1.56,2.11,2.59,2.87,3.16,3.66,3.81,3.75
Dividends USD,0.36,0.4,0.44,0.48,0.52,0.71,0.45,0.8,0.84,0.88,0.91
Payout Ratio % *,23.2,25.6,41.9,30.8,26.0,27.4,21.1,25.0,23.1,23.0,24.2
Shares Mil,138.0,129.0,129.0,128.0,122.0,120.0,119.0,118.0,117.0,113.0,111.0
Book Value Per Share * USD,2.75,4.2,5.06,4.72,4.26,6.74,8.36,9.95,10.96,12.44,13.41
Operating Cash Flow USD Mil,458.0,505.0,357.0,428.0,636.0,548.0,574.0,647.0,873.0,854.0,799.0
Cap Spending USD Mil,-694.0,-303.0,-353.0,-262.0,-502.0,-439.0,-493.0,-809.0,-725.0,-638.0,-468.0
Free Cash Flow USD Mil,-236.0,202.0,4.0,166.0,133.0,109.0,81.0,-162.0,148.0,216.0,331.0
Free Cash Flow Per Share * USD,-1.72,1.57,0.03,1.3,1.08,0.9,0.49,-0.6,0.74,1.74,
Working Capital USD Mil,-36.0,-12.0,123.0,-47.0,75.0,52.0,-32.0,109.0,327.0,373.0,
