Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,4.42,5.61,8.14,11.52,14.68,16.0,14.79,14.0,15.49,15.41,14.45
Accounts Receivable,33.82,31.15,30.74,31.2,30.15,29.65,1.15,0.94,2.07,1.03,
Inventory,15.44,17.96,16.95,15.5,15.47,15.34,15.95,16.11,16.88,15.73,17.08
Other Current Assets,3.3,2.43,2.62,2.03,1.97,2.23,28.41,28.56,27.88,28.5,25.22
Total Current Assets,56.98,57.15,58.46,60.26,62.27,63.22,60.3,59.61,62.31,60.65,56.75
Net PP&E,28.32,29.97,25.83,25.3,23.53,22.09,21.62,21.05,20.8,22.42,23.72
Intangibles,0.41,0.47,2.28,1.84,1.45,0.99,0.6,0.3,0.4,0.68,0.73
Other Long-Term Assets,14.28,12.41,13.43,12.6,12.76,13.7,17.48,19.03,16.49,16.24,18.79
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,7.79,8.19,8.42,9.09,8.72,7.72,6.74,,,
Short-Term Debt,9.85,14.98,13.0,13.84,14.65,14.83,14.73,11.63,11.39,11.32,4.4
Taxes Payable,,0.32,2.31,1.77,1.0,1.9,1.69,1.7,2.01,1.42,1.9
Accrued Liabilities,7.29,,,,,,,,,,
Other Short-Term Liabilities,12.49,7.73,5.51,5.35,5.09,4.83,4.53,4.96,11.99,12.15,13.44
Total Current Liabilities,29.63,30.82,29.01,29.38,29.83,30.27,28.68,25.03,25.39,24.88,19.75
Long-Term Debt,10.08,11.4,10.22,7.91,5.81,4.27,2.62,4.05,3.11,1.98,1.48
Other Long-Term Liabilities,2.33,2.27,2.05,2.02,1.96,2.43,3.05,4.01,3.39,3.22,3.98
Total Liabilities,42.05,44.49,41.28,39.31,37.6,36.98,34.35,33.09,31.9,30.08,25.2
Total Stockholders' Equity,57.95,55.51,58.72,60.69,62.4,63.02,65.65,66.91,68.1,69.92,74.8
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
