Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,7.05,7.75,8.74,8.33,8.07,9.18,12.13,8.47,14.8,6.52,6.52
Accounts Receivable,4.26,4.34,5.02,4.19,4.32,4.72,5.2,5.27,5.37,6.38,6.38
Inventory,6.39,6.84,7.05,5.88,5.87,6.73,6.79,7.02,6.75,7.32,7.32
Other Current Assets,1.07,1.24,0.98,0.88,0.98,0.84,0.88,0.98,0.4,1.16,1.16
Total Current Assets,18.77,20.16,21.79,19.28,19.24,21.48,25.01,21.74,27.32,21.39,21.39
Net PP&E,4.27,3.94,3.72,3.34,3.16,3.4,3.14,3.09,2.9,3.26,3.26
Intangibles,75.85,74.77,73.64,75.86,76.18,73.73,70.18,73.88,69.4,74.81,74.81
Other Long-Term Assets,1.12,1.13,0.85,1.52,1.41,1.4,1.67,1.29,0.38,0.54,0.54
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.11,1.82,1.65,1.38,1.36,1.74,1.71,1.69,1.46,1.49,1.49
Short-Term Debt,,,,0.34,0.38,0.5,3.54,2.89,2.35,3.7,3.7
Taxes Payable,,,,0.2,,,,,,,
Accrued Liabilities,2.81,2.24,2.57,1.37,2.21,1.8,3.12,2.68,2.94,2.59,2.59
Other Short-Term Liabilities,,,,1.29,0.34,1.2,0.3,0.54,0.27,0.95,0.95
Total Current Liabilities,3.92,4.06,4.22,4.58,4.28,5.24,8.67,7.81,7.02,8.73,8.73
Long-Term Debt,60.17,55.28,66.16,69.19,65.91,92.7,107.06,97.11,92.7,114.21,114.21
Other Long-Term Liabilities,6.92,7.28,7.48,8.26,7.48,7.52,7.3,7.4,6.36,6.64,6.64
Total Liabilities,71.01,66.63,77.86,82.03,77.68,105.47,123.03,112.32,106.07,129.58,129.58
Total Stockholders' Equity,28.99,33.37,22.14,17.97,22.32,-5.47,-23.03,-12.32,-6.07,-29.58,-29.58
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
