Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,7.5,10.27,12.28,3.31,3.11,2.29,3.35,1.46,1.11,0.93,1.07
Accounts Receivable,21.37,20.39,18.91,19.48,18.74,19.03,18.76,18.37,18.91,18.63,20.63
Inventory,20.12,20.33,20.21,19.14,20.0,22.56,22.23,21.63,23.21,24.3,22.6
Other Current Assets,6.79,6.42,6.04,5.78,6.1,6.82,6.05,6.0,6.45,5.36,6.22
Total Current Assets,55.79,57.4,57.44,47.7,47.94,50.7,50.4,47.45,49.67,49.22,50.52
Net PP&E,7.47,6.89,6.77,5.55,5.53,5.13,4.9,5.07,4.9,4.96,4.83
Intangibles,33.71,31.59,31.04,40.25,40.22,38.68,36.48,41.18,38.44,39.24,38.62
Other Long-Term Assets,3.03,4.12,4.75,6.49,6.3,5.49,8.21,6.29,6.99,6.58,6.02
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,14.3,15.41,13.58,12.97,13.11,14.77,14.66,14.03,15.46,14.52,13.75
Short-Term Debt,1.0,4.48,0.64,1.01,1.64,0.85,0.62,3.07,5.32,7.48,8.67
Taxes Payable,,,,2.01,2.56,2.49,2.58,2.46,2.49,2.25,1.99
Accrued Liabilities,13.08,12.99,13.83,9.69,9.52,3.89,3.85,3.87,9.74,9.78,8.15
Other Short-Term Liabilities,,,,,,5.62,5.86,5.57,,,
Total Current Liabilities,28.38,32.88,28.06,25.69,26.83,27.61,27.57,29.0,33.01,34.03,32.55
Long-Term Debt,12.77,7.41,6.34,8.69,7.67,9.15,8.0,8.84,7.13,10.63,12.12
Other Long-Term Liabilities,5.13,6.03,9.25,12.59,14.19,14.24,14.91,16.33,15.52,13.84,15.1
Total Liabilities,46.29,46.32,43.65,46.97,48.69,51.0,50.48,54.17,55.66,58.5,59.77
Total Stockholders' Equity,53.71,53.68,56.35,53.03,51.31,49.0,49.52,45.83,44.34,41.5,40.23
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
