Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,232.0,330.0,394.0,463.0,577.0,619.0,527.0,459.0,555.0,541.0,541.0
Gross Margin %,20.3,36.3,38.5,32.4,49.6,43.5,28.8,37.9,37.5,36.8,36.8
Operating Income AUD Mil,-38.0,50.0,11.0,32.0,135.0,129.0,25.0,-563.0,122.0,148.0,148.0
Operating Margin %,-16.6,15.0,2.7,6.9,23.3,20.9,4.8,-122.7,22.1,27.3,27.3
Net Income AUD Mil,-45.0,31.0,-37.0,60.0,105.0,85.0,33.0,-503.0,182.0,136.0,136.0
Earnings Per Share AUD,-0.16,0.1,-0.1,0.11,0.16,0.13,0.05,-0.78,0.28,0.19,0.19
Dividends AUD,,,,,,0.06,,,,0.02,0.02
Payout Ratio % *,,,,,,,46.4,,,,9.1
Shares Mil,279.0,315.0,375.0,531.0,652.0,640.0,647.0,641.0,642.0,733.0,733.0
Book Value Per Share * AUD,0.9,0.86,0.77,0.83,0.61,0.9,1.05,1.11,0.37,0.54,0.9
Operating Cash Flow AUD Mil,22.0,66.0,32.0,59.0,179.0,154.0,105.0,62.0,193.0,186.0,186.0
Cap Spending AUD Mil,-213.0,-186.0,-54.0,-34.0,-49.0,-141.0,-120.0,-99.0,-45.0,-120.0,-120.0
Free Cash Flow AUD Mil,-191.0,-119.0,-23.0,25.0,130.0,14.0,-16.0,-38.0,148.0,67.0,67.0
Free Cash Flow Per Share * AUD,-0.68,-0.38,-0.06,0.05,0.05,0.2,0.02,-0.02,-0.06,0.23,
Working Capital AUD Mil,5.0,-42.0,-59.0,23.0,174.0,114.0,78.0,48.0,187.0,376.0,
