Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.78,5.24,4.58,3.35,1.71,1.23,1.7,3.06,3.03,2.59,1.18
Accounts Receivable,3.5,4.04,2.63,2.68,2.46,2.32,2.7,2.37,2.39,2.55,2.83
Inventory,2.68,2.71,2.74,2.78,2.69,2.64,2.59,2.42,2.44,1.91,1.89
Other Current Assets,1.81,2.09,2.2,2.42,2.04,2.33,2.06,1.59,1.25,0.98,1.58
Total Current Assets,11.77,14.09,12.13,11.22,8.9,8.53,9.05,9.43,9.11,8.03,7.48
Net PP&E,62.34,61.25,63.26,62.31,63.56,63.19,64.69,62.19,62.81,61.33,62.96
Intangibles,1.12,1.03,1.01,0.97,0.93,0.87,0.87,0.81,0.84,0.82,0.81
Other Long-Term Assets,24.77,23.62,23.6,25.5,26.61,27.41,25.38,27.56,27.23,29.82,28.74
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.07,4.03,2.67,3.05,2.63,2.82,2.7,2.51,2.4,2.8,2.38
Short-Term Debt,3.49,2.08,1.99,1.17,5.65,3.51,3.46,3.22,1.59,1.7,4.79
Taxes Payable,,,,,0.68,0.77,0.44,0.28,0.47,0.39,0.53
Accrued Liabilities,3.12,4.17,0.66,0.67,0.56,0.65,0.57,0.57,0.58,0.58,0.53
Other Short-Term Liabilities,,,3.23,2.28,2.64,1.76,2.17,1.7,1.89,1.5,1.38
Total Current Liabilities,9.68,10.28,8.55,7.18,12.16,9.5,9.35,8.27,6.92,6.97,9.61
Long-Term Debt,28.92,30.52,28.65,29.25,24.68,27.59,27.97,26.87,29.37,31.52,30.12
Other Long-Term Liabilities,37.11,36.59,39.5,41.61,40.91,41.62,40.49,43.15,42.98,43.91,41.53
Total Liabilities,75.7,77.39,76.7,78.04,77.75,78.71,77.81,78.29,79.27,82.39,81.27
Total Stockholders' Equity,24.3,22.61,23.3,21.96,22.25,21.29,22.19,21.71,20.73,17.61,18.73
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
