Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,13516.0,15358.0,13954.0,15828.0,16098.0,17164.0,15891.0,16124.0,14155.0,13586.0,14138.0
Gross Margin %,25.1,23.6,24.6,24.9,25.1,20.9,20.4,18.5,20.2,17.9,18.6
Operating Income USD Mil,3013.0,3261.0,3094.0,3544.0,3694.0,3309.0,3027.0,2793.0,2662.0,2239.0,2422.0
Operating Margin %,22.3,21.2,22.2,22.4,22.9,19.3,19.0,17.3,18.8,16.5,17.1
Net Income USD Mil,-95.0,1234.0,658.0,9.0,58.0,-912.0,114.0,769.0,306.0,-1130.0,-768.0
Earnings Per Share USD,-0.14,1.82,0.98,0.01,0.07,-1.21,0.15,1.06,0.44,-1.72,-1.17
Dividends USD,,,,,,0.04,0.16,0.2,0.4,0.33,0.47
Payout Ratio % *,,,,,,,18.1,32.7,41.7,188.2,
Shares Mil,678.0,689.0,670.0,774.0,783.0,755.0,748.0,724.0,689.0,662.0,662.0
Book Value Per Share * USD,3.24,4.52,4.79,6.62,6.29,4.49,4.84,5.14,4.9,4.14,4.11
Operating Cash Flow USD Mil,2357.0,2165.0,2213.0,3510.0,2884.0,2901.0,2715.0,1791.0,2134.0,2884.0,2391.0
Cap Spending USD Mil,-2425.0,-2840.0,-2520.0,-2310.0,-2430.0,-2236.0,-1988.0,-2016.0,-2308.0,-2345.0,-2162.0
Free Cash Flow USD Mil,-68.0,-675.0,-307.0,1200.0,454.0,665.0,727.0,-225.0,-174.0,539.0,229.0
Free Cash Flow Per Share * USD,0.31,-0.61,-0.17,0.47,0.78,0.52,0.8,-0.18,-0.31,0.6,
Working Capital USD Mil,2854.0,2144.0,2166.0,1381.0,782.0,146.0,86.0,829.0,-84.0,1139.0,
