Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,18337.0,19000.0,20288.0,21942.0,23191.0,25878.0,27423.0,29078.0,30945.0,33184.0,34372.0
Gross Margin %,24.5,24.1,26.2,26.9,27.3,28.4,28.5,28.5,28.8,29.0,28.9
Operating Income USD Mil,1258.0,1451.0,1991.0,2203.0,2447.0,3107.0,3351.0,3607.0,3704.0,3850.0,3875.0
Operating Margin %,6.9,7.6,9.8,10.0,10.6,12.0,12.2,12.4,12.0,11.6,11.3
Net Income USD Mil,772.0,881.0,1214.0,1343.0,1496.0,1907.0,2137.0,2215.0,2278.0,2298.0,2408.0
Earnings Per Share USD,0.83,1.0,1.42,1.65,1.93,2.55,2.94,3.15,3.33,3.46,3.7
Dividends USD,,,,,0.1,0.34,0.55,0.67,0.81,1.04,1.15
Payout Ratio % *,,,,,4.9,18.7,13.6,21.2,23.5,21.4,30.9
Shares Mil,936.0,885.0,855.0,813.0,774.0,748.0,726.0,704.0,683.0,664.0,651.0
Book Value Per Share * USD,1.68,2.01,2.59,2.93,3.27,3.5,4.28,5.64,6.0,6.26,6.26
Operating Cash Flow USD Mil,1361.0,1155.0,2272.0,1976.0,1916.0,3046.0,2590.0,3008.0,2937.0,3602.0,3419.0
Cap Spending USD Mil,-527.0,-583.0,-429.0,-707.0,-803.0,-978.0,-947.0,-912.0,-889.0,-1025.0,-1085.0
Free Cash Flow USD Mil,834.0,572.0,1843.0,1269.0,1113.0,2067.0,1644.0,2097.0,2048.0,2577.0,2334.0
Free Cash Flow Per Share * USD,0.6,0.82,1.05,1.15,1.09,2.2,1.65,2.33,2.63,3.3,
Working Capital USD Mil,1231.0,858.0,1909.0,1966.0,2069.0,1951.0,2550.0,2785.0,2370.0,2993.0,
