Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,,,,,,4676.0,4103.0,4070.0,4250.0,4993.0,4977.0
Gross Margin %,,,,,,17.3,18.4,19.4,15.9,23.3,23.5
Operating Income USD Mil,,,,,,451.0,422.0,457.0,187.0,622.0,650.0
Operating Margin %,,,,,,9.6,10.3,11.2,4.4,12.5,13.1
Net Income USD Mil,,,,,,281.0,296.0,252.0,87.0,304.0,316.0
Earnings Per Share USD,,,,,,,,-0.06,0.53,1.84,1.91
Dividends USD,,,,,,,,,0.2,0.4,0.4
Payout Ratio % *,,,,,,,,,7.6,33.9,20.9
Shares Mil,,,,,,,,172.0,164.0,165.0,165.0
Book Value Per Share * USD,,,,,,,,,1.27,1.86,2.72
Operating Cash Flow USD Mil,,,,,,563.0,578.0,487.0,554.0,488.0,436.0
Cap Spending USD Mil,,,,,,-87.0,-97.0,-78.0,-161.0,-150.0,-132.0
Free Cash Flow USD Mil,,,,,,476.0,481.0,409.0,392.0,338.0,304.0
Free Cash Flow Per Share * USD,,,,,,,,,2.01,2.72,
Working Capital USD Mil,,,,,,,78.0,3.0,-81.0,8.0,
