Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,13817.0,16041.0,15519.0,15051.0,15499.0,15165.0,16661.0,17256.0
Gross Margin %,,,,14.8,16.6,17.1,18.5,19.5,19.8,21.3,21.4
Operating Income USD Mil,,,,940.0,1644.0,1476.0,1627.0,1758.0,1723.0,1947.0,2089.0
Operating Margin %,,,,6.8,10.2,9.5,10.8,11.3,11.4,11.7,12.1
Net Income USD Mil,,,,631.0,1145.0,1077.0,1212.0,1351.0,1450.0,1257.0,1380.0
Earnings Per Share USD,,,,0.92,2.72,3.33,3.89,4.48,5.06,4.59,5.13
Dividends USD,,,,,,,0.68,1.0,1.0,1.16,1.16
Payout Ratio % *,,,,,,,15.1,21.4,21.2,28.7,22.6
Shares Mil,,,,686.0,421.0,323.0,312.0,302.0,287.0,273.0,269.0
Book Value Per Share * USD,,,,,4.58,7.44,8.96,9.92,8.32,9.46,12.05
Operating Cash Flow USD Mil,,,,1142.0,1377.0,1478.0,1750.0,2135.0,1703.0,1941.0,1723.0
Cap Spending USD Mil,,,,-500.0,-630.0,-705.0,-682.0,-855.0,-704.0,-828.0,-805.0
Free Cash Flow USD Mil,,,,642.0,747.0,773.0,1068.0,1280.0,999.0,1113.0,918.0
Free Cash Flow Per Share * USD,,,,,1.59,2.39,2.31,3.63,3.75,4.25,
Working Capital USD Mil,,,,3947.0,1789.0,1568.0,1858.0,1335.0,1194.0,1271.0,
