Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,,,,,,,0.18,0.23,2.68,2.58,1.82
Accounts Receivable,,,,,,,31.8,32.24,15.5,15.3,16.56
Inventory,,,,,,,,,,,
Other Current Assets,,,,,,,3.97,4.29,2.54,2.58,2.44
Total Current Assets,,,,,,,35.95,36.75,20.73,20.46,20.82
Net PP&E,,,,,,,22.18,20.21,10.94,12.48,12.73
Intangibles,,,,,,,38.07,40.31,66.92,65.28,64.84
Other Long-Term Assets,,,,,,,3.79,2.73,1.42,1.78,1.62
Total Assets,,,,,,,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,,4.48,6.04,3.52,3.83,3.38
Short-Term Debt,,,,,,,,,2.64,1.47,1.68
Taxes Payable,,,,,,,0.44,0.38,0.2,,
Accrued Liabilities,,,,,,,7.47,5.66,10.63,10.54,10.21
Other Short-Term Liabilities,,,,,,,20.03,24.55,5.42,4.46,4.5
Total Current Liabilities,,,,,,,32.43,36.63,22.4,20.29,19.76
Long-Term Debt,,,,,,,,,54.81,51.37,50.55
Other Long-Term Liabilities,,,,,,,16.67,14.0,21.45,21.58,20.78
Total Liabilities,,,,,,,49.11,50.63,98.67,93.25,91.09
Total Stockholders' Equity,,,,,,,50.89,49.37,1.33,6.75,8.91
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
