Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,5437.0,5237.0,4854.0,5049.0,5623.0,6182.0,6505.0,7151.0,7412.0,7766.0,7685.0
Gross Margin %,26.1,27.9,27.4,30.0,31.9,32.9,32.8,33.2,33.8,33.9,32.2
Operating Income USD Mil,78.0,-103.0,80.0,262.0,442.0,622.0,666.0,809.0,942.0,1006.0,779.0
Operating Margin %,1.4,-2.0,1.6,5.2,7.9,10.1,10.2,11.3,12.7,13.0,10.1
Net Income USD Mil,45.0,-80.0,48.0,169.0,278.0,397.0,429.0,520.0,541.0,664.0,522.0
Earnings Per Share USD,0.29,-0.52,0.3,1.07,1.8,2.58,2.85,3.56,3.84,4.91,3.96
Dividends USD,0.5,0.6,0.6,0.6,0.66,0.72,0.8,0.88,1.0,1.1,1.21
Payout Ratio % *,156.3,69.3,,56.1,36.7,29.0,28.6,25.6,26.0,23.2,30.4
Shares Mil,155.0,154.0,156.0,156.0,154.0,154.0,151.0,146.0,141.0,135.0,131.0
Book Value Per Share * USD,14.7,13.96,12.66,13.1,13.92,15.19,16.81,18.47,18.59,20.02,21.92
Operating Cash Flow USD Mil,283.0,383.0,345.0,326.0,497.0,416.0,530.0,712.0,745.0,816.0,835.0
Cap Spending USD Mil,-148.0,-146.0,-89.0,-97.0,-152.0,-163.0,-206.0,-190.0,-228.0,-266.0,-277.0
Free Cash Flow USD Mil,135.0,237.0,256.0,229.0,345.0,253.0,324.0,522.0,517.0,550.0,558.0
Free Cash Flow Per Share * USD,0.87,1.82,1.37,1.46,2.23,2.15,1.87,3.09,3.25,3.93,
Working Capital USD Mil,1563.0,1346.0,1339.0,1445.0,1531.0,1727.0,1724.0,1760.0,1906.0,2021.0,
