Key Financials RUB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue RUB Mil,2011866.0,3181845.0,2443363.0,3210646.0,4275295.0,4227552.0,4651496.0,5504856.0,5749050.0,5227045.0,5675177.0
Gross Margin %,65.8,64.8,60.8,58.8,55.3,53.9,53.4,49.5,49.7,50.1,47.7
Operating Income RUB Mil,321123.0,405088.0,294651.0,352799.0,420812.0,427400.0,336962.0,412334.0,465729.0,419143.0,461415.0
Operating Margin %,16.0,12.7,12.1,11.0,9.8,10.1,7.2,7.5,8.1,8.0,8.1
Net Income RUB Mil,233663.0,270197.0,211270.0,275497.0,331307.0,334265.0,257547.0,395525.0,291135.0,206794.0,344894.0
Earnings Per Share RUB,282.04,321.49,249.51,334.66,417.13,430.44,334.76,541.9,405.15,290.06,484.73
Dividends RUB,,,,,,106.99,47.64,112.88,152.01,188.68,195.46
Payout Ratio % *,,,,,,18.0,19.8,20.5,56.9,128.5,40.3
Shares Mil,829.0,840.0,847.0,823.0,799.0,781.0,776.0,735.0,723.0,713.0,712.0
Book Value Per Share * RUB,,28.87,40.49,53.61,56.36,73.48,75.11,60.38,96.06,71.58,69.69
Operating Cash Flow RUB Mil,267320.0,422906.0,267681.0,414225.0,496273.0,577066.0,540908.0,865370.0,848972.0,752247.0,741834.0
Cap Spending RUB Mil,-229118.0,-311359.0,-196565.0,-202233.0,-264675.0,-381774.0,-519763.0,-813952.0,-601325.0,-499679.0,-513624.0
Free Cash Flow RUB Mil,38203.0,111548.0,71116.0,211991.0,231598.0,195292.0,21144.0,51417.0,247647.0,252568.0,228210.0
Free Cash Flow Per Share * RUB,1.18,1.11,3.06,2.09,6.05,4.23,2.9,0.18,2.37,6.02,
Working Capital RUB Mil,200840.0,149459.0,245442.0,301071.0,397332.0,359052.0,338639.0,475097.0,518479.0,424955.0,
