Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,12868.0,14112.0,12361.0,9996.0,10588.0,11862.0,12581.0,13413.0,11524.0,11869.0,11984.0
Gross Margin %,60.3,57.5,65.5,67.1,68.3,65.1,61.1,58.3,63.0,61.9,60.8
Operating Income USD Mil,2271.0,2563.0,1398.0,1819.0,2061.0,2285.0,1715.0,2472.0,2008.0,2092.0,2076.0
Operating Margin %,17.6,18.2,11.3,18.2,19.5,19.3,13.6,18.4,17.4,17.6,17.3
Net Income USD Mil,1098.0,1215.0,849.0,1308.0,22.0,-92.0,1015.0,1724.0,1133.0,1434.0,1564.0
Earnings Per Share USD,3.31,3.68,2.58,3.82,-0.11,-0.56,2.78,4.89,3.1,3.97,4.37
Dividends USD,,,,1.76,1.28,1.31,1.37,1.48,1.73,1.98,1.08
Payout Ratio % *,,,,36.4,43.1,,31.8,35.6,38.3,70.6,25.0
Shares Mil,331.0,329.0,327.0,329.0,329.0,330.0,329.0,329.0,329.0,330.0,329.0
Book Value Per Share * USD,17.51,20.18,21.02,24.68,26.1,23.22,21.63,27.11,32.59,34.3,32.46
Operating Cash Flow USD Mil,3193.0,2210.0,3045.0,3477.0,3906.0,3334.0,3203.0,3248.0,4509.0,3256.0,3444.0
Cap Spending USD Mil,-2826.0,-2824.0,-3282.0,-4543.0,-4808.0,-4149.0,-3599.0,-3906.0,-4225.0,-3734.0,-3621.0
Free Cash Flow USD Mil,367.0,-614.0,-237.0,-1066.0,-902.0,-815.0,-396.0,-658.0,284.0,-478.0,-177.0
Free Cash Flow Per Share * USD,1.01,-1.61,-0.91,-1.02,-3.17,-3.38,-0.83,-1.34,-0.36,0.9,
Working Capital USD Mil,-15.0,656.0,643.0,470.0,136.0,-1072.0,-1569.0,-1460.0,-2273.0,-3789.0,
