Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,10383.0,9775.0,10707.0,11700.0,13276.0,14866.0,16447.0,19163.0,21316.0,22386.0,22386.0
Gross Margin %,55.3,55.8,58.8,58.0,56.2,57.1,58.3,59.4,60.1,59.6,59.6
Operating Income USD Mil,503.0,562.0,1419.0,1729.0,1997.0,-325.0,3081.0,3601.0,4171.0,4134.0,4134.0
Operating Margin %,4.9,5.7,13.3,14.8,15.0,-2.2,18.7,18.8,19.6,18.5,18.5
Net Income USD Mil,316.0,391.0,946.0,1246.0,1383.0,8.0,2068.0,2757.0,2817.0,2884.0,2884.0
Earnings Per Share USD,0.21,0.26,0.62,0.81,0.9,0.01,1.35,1.82,1.9,1.97,1.97
Dividends USD,,,0.17,0.26,0.42,0.42,0.52,0.64,0.8,1.0,1.0
Payout Ratio % *,,,26.6,32.1,45.0,38.3,319.3,34.3,42.7,48.0,50.8
Shares Mil,1483.0,1491.0,1528.0,1539.0,1546.0,1525.0,1526.0,1513.0,1487.0,1462.0,1462.0
Book Value Per Share * USD,18.59,27.67,31.12,40.34,46.12,50.27,45.65,67.15,76.29,73.51,73.51
Operating Cash Flow USD Mil,1259.0,1389.0,1705.0,1612.0,1750.0,2908.0,607.0,3749.0,4575.0,4174.0,4174.0
Cap Spending USD Mil,-985.0,-446.0,-440.0,-531.0,-856.0,-1151.0,-1161.0,-1304.0,-1440.0,-1519.0,-1519.0
Free Cash Flow USD Mil,274.0,943.0,1264.0,1081.0,894.0,1757.0,-553.0,2445.0,3135.0,2655.0,2655.0
Free Cash Flow Per Share * USD,2.03,8.54,10.37,9.63,7.79,13.28,-3.91,24.99,37.28,36.65,
Working Capital USD Mil,-441.0,455.0,977.0,1719.0,1989.0,94.0,1130.0,699.0,213.0,1063.0,
