Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2214.0,2337.0,2441.0,2555.0,2666.0,2854.0,2879.0,3011.0,3159.0,3302.0,3338.0
Gross Margin %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Operating Income USD Mil,3.0,-187.0,174.0,728.0,803.0,924.0,948.0,1003.0,1075.0,1080.0,1213.0
Operating Margin %,0.1,-8.0,7.1,28.5,30.1,32.4,32.9,33.3,34.0,32.7,36.3
Net Income USD Mil,-343.0,-562.0,-233.0,268.0,310.0,358.0,369.0,423.0,476.0,468.0,528.0
Earnings Per Share USD,-2.14,-3.52,-1.39,1.53,1.75,2.01,2.06,2.35,2.64,2.62,2.96
Dividends USD,,0.4,0.82,0.86,0.9,1.21,0.84,1.21,1.33,1.47,1.58
Payout Ratio % *,,,,56.2,53.3,57.4,52.0,53.6,49.8,55.0,53.4
Shares Mil,160.0,160.0,168.0,175.0,177.0,178.0,179.0,180.0,180.0,179.0,179.0
Book Value Per Share * USD,28.39,25.64,22.91,23.59,24.24,25.1,25.97,27.41,28.97,29.41,30.93
Operating Cash Flow USD Mil,474.0,552.0,596.0,775.0,808.0,956.0,896.0,1097.0,1179.0,1276.0,1317.0
Cap Spending USD Mil,-768.0,-1034.0,-815.0,-809.0,-978.0,-986.0,-1045.0,-956.0,-1160.0,-1311.0,-1347.0
Free Cash Flow USD Mil,-295.0,-481.0,-219.0,-34.0,-170.0,-30.0,-149.0,141.0,19.0,-35.0,-30.0
Free Cash Flow Per Share * USD,-1.84,-3.01,-1.3,-0.2,-0.88,-0.17,-0.34,,0.07,-0.21,
Working Capital USD Mil,-344.0,-687.0,-108.0,-240.0,-91.0,-495.0,-685.0,-580.0,-876.0,-1608.0,
