Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,10.11,8.23,11.78,9.29,9.2,10.88,8.62,8.16,7.94,8.26,11.17
Accounts Receivable,56.0,55.78,53.2,56.28,57.05,55.85,58.87,60.05,58.19,56.7,54.36
Inventory,6.06,7.85,5.83,7.08,9.07,9.19,8.29,6.86,6.59,5.76,6.82
Other Current Assets,,,4.21,4.48,,,,,,,
Total Current Assets,72.17,71.86,75.02,77.12,75.31,75.92,75.78,75.07,72.71,70.72,72.35
Net PP&E,13.58,14.89,11.02,8.76,13.49,13.4,14.48,15.64,8.94,19.1,20.52
Intangibles,3.54,3.58,2.85,2.58,2.34,1.82,1.55,1.4,1.36,1.59,1.5
Other Long-Term Assets,10.71,9.67,11.11,11.54,8.86,8.85,8.19,7.89,16.98,8.6,5.63
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,13.89,16.51,4.18,5.51,4.88,4.41,,,,3.15,
Short-Term Debt,25.84,22.0,17.4,17.41,19.98,17.71,21.67,20.51,22.46,20.55,22.13
Taxes Payable,,,0.15,0.36,0.34,,,,,,
Accrued Liabilities,0.71,,7.89,8.82,9.48,6.6,,,,5.5,
Other Short-Term Liabilities,0.83,0.88,1.37,1.1,1.73,5.21,15.26,14.11,12.76,3.98,12.62
Total Current Liabilities,41.27,39.38,31.0,33.2,36.41,33.93,36.93,34.62,35.22,33.18,34.75
Long-Term Debt,30.58,35.88,42.28,38.86,35.18,39.91,36.25,39.75,41.13,40.98,37.97
Other Long-Term Liabilities,9.59,7.87,15.0,13.4,14.3,14.0,9.58,10.86,12.02,14.6,13.53
Total Liabilities,81.45,83.13,88.28,85.46,85.89,87.84,82.75,85.22,88.36,88.76,86.25
Total Stockholders' Equity,18.55,16.87,11.72,14.54,14.11,12.16,17.25,14.78,11.64,11.24,13.75
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
