Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,16.04,16.97,17.83,17.81,17.59,8.18,9.94,7.2,14.31,14.42,9.85
Accounts Receivable,16.4,8.86,8.88,10.34,11.74,12.06,11.91,13.24,9.71,10.72,12.81
Inventory,16.3,17.36,10.44,11.19,13.64,16.42,17.14,17.58,15.06,16.29,21.34
Other Current Assets,2.88,2.92,4.07,2.76,3.07,3.34,3.17,3.23,1.3,1.31,1.45
Total Current Assets,51.63,46.11,41.22,42.1,46.04,40.0,42.16,41.25,40.38,42.74,45.45
Net PP&E,32.9,29.78,31.93,27.67,25.78,30.26,32.34,33.86,34.32,33.36,30.88
Intangibles,13.41,19.31,21.52,19.34,17.95,20.94,18.73,18.77,19.52,19.18,19.08
Other Long-Term Assets,2.06,4.8,5.33,10.89,10.24,8.79,6.76,6.12,5.77,4.72,4.6
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.04,3.85,5.62,6.44,6.58,7.4,7.35,6.36,3.98,5.51,7.95
Short-Term Debt,0.23,1.36,0.06,0.1,4.47,1.98,0.21,1.43,0.36,4.06,6.97
Taxes Payable,,1.43,,,,,,,,,
Accrued Liabilities,8.83,6.72,4.07,4.27,5.39,4.97,5.33,5.64,5.38,6.13,6.62
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,16.1,13.36,9.76,10.81,16.44,14.34,12.89,13.43,9.72,15.7,21.54
Long-Term Debt,22.9,22.24,24.5,30.74,24.91,23.88,28.79,27.92,30.6,24.56,19.64
Other Long-Term Liabilities,8.96,7.24,6.95,7.31,7.34,7.78,8.03,8.87,7.63,7.98,7.28
Total Liabilities,47.97,42.85,41.21,48.86,48.7,46.0,49.71,50.23,47.95,48.24,48.46
Total Stockholders' Equity,52.03,57.15,58.79,51.14,51.3,54.0,50.29,49.77,52.05,51.76,51.54
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
