Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,,,,7.5,9.86,14.23,18.78,5.67,5.24,2.37,3.9
Accounts Receivable,,,,8.77,9.39,9.62,10.08,11.29,9.62,6.52,6.83
Inventory,,,,9.94,10.48,9.4,9.37,9.27,7.97,4.67,4.97
Other Current Assets,,,,4.42,4.86,4.11,4.01,4.61,4.47,2.32,2.33
Total Current Assets,,,,30.63,34.58,37.36,42.24,30.84,27.3,15.88,18.03
Net PP&E,,,,6.79,7.53,7.74,8.2,8.31,8.99,7.24,6.93
Intangibles,,,,61.97,57.0,54.09,48.24,57.22,60.04,75.31,73.1
Other Long-Term Assets,,,,0.6,0.88,0.81,1.33,3.62,3.67,1.57,1.94
Total Assets,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,9.93,11.23,11.0,12.29,12.43,12.98,7.68,7.5
Short-Term Debt,,,,0.69,3.07,0.62,0.51,0.48,2.28,0.93,0.95
Taxes Payable,,,,1.03,1.41,1.51,1.42,0.37,0.77,0.89,0.55
Accrued Liabilities,,,,10.71,13.98,8.52,9.42,11.95,8.66,6.43,7.75
Other Short-Term Liabilities,,,,4.51,1.24,0.97,0.59,0.12,1.44,0.93,
Total Current Liabilities,,,,26.88,30.94,22.62,24.23,25.36,26.13,16.87,16.75
Long-Term Debt,,,,37.79,36.71,40.03,49.45,43.3,56.35,30.73,31.99
Other Long-Term Liabilities,,,,15.34,18.48,14.26,13.52,15.24,12.45,11.09,11.16
Total Liabilities,,,,80.01,86.14,76.91,87.2,83.89,94.93,58.69,59.9
Total Stockholders' Equity,,,,19.99,13.86,23.09,12.8,16.11,5.07,41.31,40.1
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
