Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,5.47,10.64,5.9,5.62,5.7,3.26,3.14,28.52,23.44,4.9,4.94
Accounts Receivable,27.01,24.16,25.38,25.46,24.53,25.14,25.81,18.64,20.22,22.69,23.53
Inventory,18.21,16.16,17.18,18.21,18.01,18.92,19.76,14.96,15.78,16.87,17.27
Other Current Assets,0.63,0.63,0.76,1.06,2.07,1.7,2.04,1.77,0.68,0.78,0.94
Total Current Assets,51.33,51.59,49.22,50.35,50.31,49.02,50.74,63.9,60.12,45.24,46.68
Net PP&E,28.66,29.16,31.06,30.85,32.11,31.41,30.27,22.14,23.21,24.65,23.83
Intangibles,14.89,15.97,16.06,15.31,14.71,16.5,16.16,11.75,13.93,27.9,27.27
Other Long-Term Assets,5.13,3.28,3.66,3.49,2.87,3.07,2.83,2.21,2.74,2.21,2.23
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,20.32,18.18,18.94,19.18,18.27,19.45,21.5,16.02,17.56,22.36,21.45
Short-Term Debt,0.05,0.09,0.08,3.42,2.11,1.97,2.85,28.07,0.59,3.01,2.92
Taxes Payable,,3.17,,,0.42,,,,0.66,0.08,0.81
Accrued Liabilities,9.22,7.81,8.44,7.52,7.52,8.19,8.82,8.16,7.71,8.88,8.15
Other Short-Term Liabilities,5.12,1.59,1.73,1.28,,,,,,,
Total Current Liabilities,34.71,30.83,29.18,31.4,28.31,29.61,33.17,52.25,26.52,34.33,33.34
Long-Term Debt,19.59,24.15,23.97,20.02,22.85,20.85,18.11,12.63,43.88,43.14,45.75
Other Long-Term Liabilities,11.89,11.25,9.74,7.25,10.11,8.55,8.73,5.88,8.8,9.11,8.78
Total Liabilities,66.19,66.23,62.89,58.67,61.26,59.0,60.0,70.76,79.19,86.59,87.86
Total Stockholders' Equity,33.81,33.77,37.11,41.33,38.74,41.0,40.0,29.24,20.81,13.41,12.14
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
