Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,636.0,791.0,860.0,1024.0,1159.0,1374.0,1578.0,1964.0,2197.0,2340.0,2456.0
Gross Margin %,73.7,71.9,70.9,70.4,60.8,61.4,67.6,68.9,67.0,65.4,65.4
Operating Income USD Mil,145.0,212.0,223.0,254.0,291.0,314.0,414.0,490.0,466.0,460.0,412.0
Operating Margin %,22.8,26.8,26.0,24.8,25.1,22.9,26.2,24.9,21.2,19.6,16.8
Net Income USD Mil,101.0,145.0,146.0,171.0,201.0,204.0,293.0,334.0,321.0,316.0,291.0
Earnings Per Share USD,0.56,0.79,0.78,0.9,1.07,1.12,1.61,1.84,1.78,1.79,1.67
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,185.0,187.0,189.0,191.0,188.0,182.0,182.0,181.0,180.0,176.0,174.0
Book Value Per Share * USD,8.17,9.28,10.15,11.67,11.95,13.19,14.24,15.98,17.41,18.29,19.35
Operating Cash Flow USD Mil,235.0,343.0,424.0,402.0,453.0,530.0,564.0,658.0,764.0,866.0,782.0
Cap Spending USD Mil,-100.0,-115.0,-108.0,-192.0,-183.0,-220.0,-260.0,-319.0,-445.0,-316.0,-384.0
Free Cash Flow USD Mil,135.0,228.0,316.0,210.0,270.0,311.0,304.0,339.0,319.0,550.0,398.0
Free Cash Flow Per Share * USD,0.72,1.22,1.68,1.1,1.28,1.71,1.58,1.9,1.57,3.29,
Working Capital USD Mil,607.0,401.0,434.0,713.0,974.0,525.0,767.0,929.0,921.0,935.0,
