Key Financials EUR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue EUR Mil,21.0,44.0,44.0,46.0,46.0,46.0,45.0,45.0,56.0,69.0,71.0
Gross Margin %,69.9,55.9,54.2,49.7,55.9,63.4,63.3,66.8,88.9,88.0,88.5
Operating Income EUR Mil,-1.0,-24.0,-13.0,16.0,-9.0,-15.0,43.0,48.0,76.0,87.0,104.0
Operating Margin %,-5.4,-55.7,-30.5,35.0,-19.7,-32.2,96.0,105.9,137.0,125.7,145.4
Net Income EUR Mil,-4.0,-52.0,-30.0,3.0,-31.0,-30.0,29.0,27.0,55.0,67.0,85.0
Earnings Per Share EUR,-0.01,-0.17,-0.1,0.01,-0.1,-0.1,0.07,0.05,0.07,0.08,0.09
Dividends EUR,0.01,0.01,,,,,,0.01,0.02,0.03,0.03
Payout Ratio % *,,,,,,,,4.7,25.8,30.7,30.2
Shares Mil,271.0,305.0,302.0,302.0,305.0,318.0,417.0,578.0,771.0,847.0,892.0
Book Value Per Share * EUR,0.76,0.72,0.61,0.61,0.55,0.48,0.27,0.28,0.38,0.44,0.54
Operating Cash Flow EUR Mil,12.0,7.0,-4.0,7.0,2.0,22.0,19.0,29.0,38.0,50.0,50.0
Cap Spending EUR Mil,-397.0,-161.0,-28.0,-10.0,-8.0,-0.0,-5.0,-1.0,-15.0,-18.0,-19.0
Free Cash Flow EUR Mil,-384.0,-154.0,-33.0,-3.0,-6.0,22.0,14.0,29.0,23.0,32.0,31.0
Free Cash Flow Per Share * EUR,-1.13,-0.47,-0.1,-0.01,-0.02,,0.05,0.03,0.03,0.03,
Working Capital EUR Mil,26.0,-99.0,5.0,-4.0,-195.0,-232.0,6.0,-0.0,-4.0,117.0,
