Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.74,7.25,5.94,7.47,7.08,6.6,7.64,6.06,20.26,3.94,8.2
Accounts Receivable,3.59,3.27,3.51,3.69,4.05,3.89,3.6,3.54,3.42,4.75,4.82
Inventory,0.43,0.39,0.35,0.34,0.35,0.34,0.34,0.32,0.26,0.19,0.17
Other Current Assets,1.43,1.45,1.5,2.17,1.87,3.08,2.21,2.28,1.47,6.74,1.52
Total Current Assets,12.19,12.36,11.3,13.66,13.35,13.91,13.79,12.21,25.42,15.63,14.71
Net PP&E,71.4,71.16,71.24,68.99,69.22,69.74,70.3,71.64,60.93,68.52,67.5
Intangibles,7.83,7.86,8.02,8.09,8.04,7.92,7.84,7.98,6.63,7.53,7.29
Other Long-Term Assets,8.59,8.62,9.44,9.26,9.39,8.43,8.07,8.18,7.02,8.32,10.5
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.12,2.18,2.1,2.95,2.91,3.23,2.97,2.51,2.31,2.44,2.1
Short-Term Debt,6.77,0.11,0.06,0.03,1.11,,,,,0.25,0.66
Taxes Payable,,0.89,1.59,1.21,1.82,1.89,1.63,1.45,1.22,1.72,1.96
Accrued Liabilities,5.56,5.74,6.14,4.96,4.79,4.5,4.06,4.06,4.25,4.53,4.31
Other Short-Term Liabilities,0.84,,,,,,,,,2.24,2.45
Total Current Liabilities,15.31,8.92,9.89,9.15,10.64,9.62,8.65,8.02,7.78,11.18,11.49
Long-Term Debt,24.87,35.79,34.94,35.96,36.78,38.52,38.58,43.73,63.58,83.41,87.23
Other Long-Term Liabilities,7.84,8.27,8.74,9.13,8.96,8.64,9.06,10.77,9.96,12.51,11.96
Total Liabilities,48.01,52.98,53.57,54.23,56.38,56.78,56.29,62.51,81.32,107.11,110.68
Total Stockholders' Equity,51.99,47.02,46.43,45.77,43.62,43.22,43.71,37.49,18.68,-7.11,-10.68
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
