Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,4098.0,3425.0,3326.0,3543.0,3998.0,4280.0,4130.0,4682.0,5010.0,6910.0,8976.0
Gross Margin %,45.6,34.3,35.4,39.8,51.4,52.0,54.9,55.5,56.1,58.8,59.3
Operating Income USD Mil,836.0,-71.0,-99.0,256.0,648.0,648.0,496.0,759.0,747.0,1934.0,2870.0
Operating Margin %,20.4,-2.1,-3.0,7.2,16.2,15.1,12.0,16.2,14.9,28.0,32.0
Net Income USD Mil,798.0,-30.0,-68.0,253.0,581.0,563.0,440.0,631.0,614.0,1666.0,2582.0
Earnings Per Share USD,1.31,-0.05,-0.12,0.43,0.94,0.9,0.74,1.12,1.08,2.57,4.03
Dividends USD,,,,,,0.07,0.31,0.34,0.39,0.48,0.56
Payout Ratio % *,,,,,,,39.0,33.3,34.1,23.5,13.9
Shares Mil,607.0,548.0,550.0,589.0,616.0,625.0,595.0,563.0,569.0,649.0,647.0
Book Value Per Share * USD,,,,,87.97,97.46,101.71,114.19,152.28,189.14,201.15
Operating Cash Flow USD Mil,1270.0,249.0,488.0,676.0,909.0,824.0,835.0,906.0,1175.0,1672.0,2865.0
Cap Spending USD Mil,-188.0,-408.0,-78.0,-98.0,-139.0,-183.0,-255.0,-122.0,-86.0,-176.0,-228.0
Free Cash Flow USD Mil,1082.0,-158.0,410.0,578.0,770.0,641.0,580.0,783.0,1089.0,1496.0,2637.0
Free Cash Flow Per Share * USD,,,,,16.24,12.28,14.33,18.37,32.86,44.05,
Working Capital USD Mil,1922.0,1389.0,1696.0,2284.0,2975.0,3799.0,4679.0,4817.0,3702.0,6748.0,
