Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,10.39,20.93,34.33,30.19,19.08,29.54,22.02,28.31,4.53,6.87,6.25
Accounts Receivable,23.94,16.68,14.55,15.11,14.58,15.17,13.31,13.36,15.12,17.09,17.75
Inventory,42.52,37.38,27.22,31.89,35.29,27.59,29.73,25.62,27.29,25.18,28.58
Other Current Assets,5.65,6.33,6.02,5.12,6.07,5.79,6.49,6.67,5.31,4.79,6.9
Total Current Assets,82.5,81.31,82.11,82.3,75.03,78.09,71.55,73.95,52.24,53.92,59.48
Net PP&E,13.4,15.09,13.37,11.27,17.31,15.63,14.19,14.58,18.77,22.07,21.02
Intangibles,1.66,1.12,1.04,0.58,0.6,0.39,9.28,7.14,23.04,17.23,14.72
Other Long-Term Assets,2.45,2.48,3.48,5.85,7.06,5.89,4.98,4.33,5.95,6.78,4.78
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,14.08,14.86,12.59,12.54,10.94,12.42,10.49,10.04,6.99,11.24,11.69
Short-Term Debt,1.17,6.58,1.68,1.02,0.75,0.79,6.65,1.38,1.46,0.74,7.19
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,9.24,5.31,7.49,8.16,7.54,7.35,8.48,7.05,6.73,5.73,6.44
Other Short-Term Liabilities,,0.55,0.25,0.36,0.75,1.24,1.42,1.65,1.51,1.11,1.32
Total Current Liabilities,24.5,27.3,22.02,22.08,19.97,21.8,27.04,20.12,16.69,18.82,26.64
Long-Term Debt,2.5,2.68,2.01,1.34,7.71,4.56,3.04,12.18,21.86,21.69,18.68
Other Long-Term Liabilities,1.2,2.11,2.65,2.99,3.08,3.04,3.16,3.24,3.31,3.77,3.82
Total Liabilities,28.19,32.09,26.69,26.42,30.76,29.4,33.24,35.55,41.85,44.27,49.14
Total Stockholders' Equity,71.81,67.91,73.31,73.58,69.24,70.6,66.76,64.45,58.15,55.73,50.86
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
