Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,23.05,22.21,23.2,20.22,15.17,21.59,21.16,18.85,19.23,17.06,20.78
Accounts Receivable,14.62,14.78,15.21,14.53,12.44,11.58,9.51,8.94,9.0,9.0,9.03
Inventory,9.88,10.32,10.16,9.74,8.12,7.91,7.07,7.39,8.37,9.1,9.5
Other Current Assets,2.61,3.49,2.75,3.73,7.16,3.41,3.72,5.02,5.74,8.5,7.1
Total Current Assets,50.17,50.8,51.32,48.22,42.89,44.5,41.47,40.2,42.35,43.66,46.41
Net PP&E,13.92,12.51,11.46,10.34,9.04,8.66,7.76,8.77,9.56,9.23,9.07
Intangibles,31.23,30.85,31.44,36.19,44.97,44.23,44.92,42.12,43.69,42.79,39.72
Other Long-Term Assets,4.68,5.84,5.79,5.25,3.1,2.62,5.85,8.91,4.4,4.33,4.8
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.03,2.01,1.75,1.62,2.2,1.35,1.65,1.61,1.43,1.81,1.45
Short-Term Debt,0.03,,,2.54,7.75,,,1.53,5.06,,8.97
Taxes Payable,,,0.53,0.06,0.21,0.26,1.27,0.09,0.47,0.33,0.33
Accrued Liabilities,8.82,8.02,7.41,8.32,12.84,9.17,8.71,8.84,18.57,18.76,16.17
Other Short-Term Liabilities,0.5,0.21,,,,,,,,,
Total Current Liabilities,11.38,10.24,9.69,12.54,23.0,10.78,11.63,12.07,25.53,20.9,26.92
Long-Term Debt,6.05,5.62,5.15,28.28,23.12,33.96,27.88,27.53,23.22,30.94,20.52
Other Long-Term Liabilities,7.92,9.96,9.69,7.74,8.55,8.87,19.06,24.96,21.81,16.59,16.35
Total Liabilities,25.35,25.83,24.54,48.56,54.66,53.61,58.58,64.56,70.56,68.43,63.79
Total Stockholders' Equity,74.65,74.17,75.46,51.44,45.34,46.39,41.42,35.44,29.44,31.57,36.21
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
