Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,669.0,751.0,816.0,866.0,910.0,980.0,1078.0,1076.0,1113.0,1183.0,1231.0
Gross Margin %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Operating Income GBP Mil,115.0,129.0,126.0,142.0,231.0,268.0,182.0,224.0,354.0,426.0,348.0
Operating Margin %,17.2,17.1,15.4,16.4,25.4,27.4,16.9,20.9,31.8,36.0,28.3
Net Income GBP Mil,138.0,92.0,88.0,102.0,119.0,146.0,141.0,175.0,218.0,262.0,205.0
Earnings Per Share GBP,0.69,0.7,0.67,0.77,0.89,1.06,1.02,1.25,1.49,1.8,1.41
Dividends GBP,0.82,0.64,0.64,0.64,0.65,0.71,0.79,0.88,1.03,1.24,1.35
Payout Ratio % *,203.2,90.0,94.3,82.9,78.0,65.6,71.2,75.3,72.9,69.1,95.5
Shares Mil,131.0,130.0,131.0,133.0,134.0,138.0,138.0,141.0,145.0,146.0,146.0
Book Value Per Share * GBP,2.26,2.11,2.0,2.28,2.32,2.71,2.63,2.87,3.96,4.97,4.94
Operating Cash Flow GBP Mil,-334.0,-32.0,7.0,34.0,27.0,-30.0,74.0,104.0,82.0,11.0,-44.0
Cap Spending GBP Mil,-13.0,-14.0,-13.0,-19.0,-9.0,-8.0,-10.0,-19.0,-27.0,-23.0,-23.0
Free Cash Flow GBP Mil,-346.0,-48.0,-6.0,15.0,18.0,-39.0,63.0,85.0,55.0,-11.0,-67.0
Free Cash Flow Per Share * GBP,-2.63,-0.36,-0.05,0.11,-0.25,-0.28,-0.04,0.49,0.45,0.38,
Working Capital GBP Mil,743.0,907.0,921.0,927.0,1172.0,1248.0,1443.0,1594.0,1599.0,1776.0,
