Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,9735.0,8129.0,5014.0,9549.0,10517.0,8719.0,7509.0,9072.0,9659.0,10825.0,13865.0
Gross Margin %,46.1,42.4,28.5,38.9,41.5,38.0,39.8,42.4,40.9,41.7,44.3
Operating Income USD Mil,2372.0,1355.0,-394.0,1384.0,2398.0,411.0,432.0,1520.0,1693.0,2152.0,3547.0
Operating Margin %,24.4,16.7,-7.9,14.5,22.8,4.7,5.8,16.8,17.5,19.9,25.6
Net Income USD Mil,1710.0,961.0,-305.0,938.0,1926.0,109.0,256.0,1072.0,1377.0,1721.0,3062.0
Earnings Per Share USD,1.2,0.7,-0.23,0.7,1.45,0.09,0.21,0.87,1.12,1.54,2.81
Dividends USD,0.22,0.24,0.24,0.26,0.3,0.34,0.38,0.4,0.4,0.4,0.4
Payout Ratio % *,,34.2,,55.6,20.7,377.8,,49.4,38.1,31.5,14.2
Shares Mil,1427.0,1375.0,1333.0,1349.0,1330.0,1277.0,1219.0,1231.0,1226.0,1116.0,1089.0
Book Value Per Share * USD,,5.6,5.23,5.48,6.74,6.04,5.78,6.29,6.88,6.33,8.17
Operating Cash Flow USD Mil,2209.0,1710.0,333.0,1723.0,2426.0,1851.0,623.0,1800.0,1163.0,2466.0,3707.0
Cap Spending USD Mil,-265.0,-288.0,-248.0,-169.0,-209.0,-162.0,-197.0,-241.0,-215.0,-253.0,-309.0
Free Cash Flow USD Mil,1945.0,1423.0,84.0,1554.0,2217.0,1689.0,426.0,1559.0,948.0,2213.0,3398.0
Free Cash Flow Per Share * USD,,1.03,-0.04,0.92,1.67,1.32,0.68,0.96,0.7,1.69,
Working Capital USD Mil,4232.0,3719.0,3749.0,3877.0,7561.0,2837.0,3199.0,4144.0,5463.0,4721.0,
