Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,12146.0,10309.0,9993.0,12346.0,13146.0,13016.0,13216.0,12712.0,11361.0,12029.0,12651.0
Gross Margin %,23.1,20.6,21.5,24.0,24.2,22.5,22.9,24.0,22.3,23.6,24.0
Operating Income USD Mil,1442.0,725.0,765.0,1491.0,1668.0,1374.0,1394.0,1512.0,1178.0,1386.0,1502.0
Operating Margin %,11.9,7.0,7.7,12.1,12.7,10.6,10.5,11.9,10.4,11.5,11.9
Net Income USD Mil,949.0,509.0,554.0,1049.0,1152.0,948.0,1041.0,1012.0,807.0,983.0,1059.0
Earnings Per Share USD,5.53,3.13,3.4,6.37,7.45,6.26,6.87,6.97,5.89,7.25,7.8
Dividends USD,0.84,1.0,1.01,1.25,1.54,1.7,1.86,2.37,2.52,2.58,2.61
Payout Ratio % *,15.2,31.9,29.7,19.6,20.6,25.8,27.4,28.9,46.5,37.2,33.5
Shares Mil,172.0,163.0,163.0,165.0,155.0,152.0,151.0,145.0,137.0,136.0,136.0
Book Value Per Share * USD,31.36,26.67,27.09,34.71,37.28,36.23,43.32,37.18,37.49,35.6,41.47
Operating Cash Flow USD Mil,1317.0,1129.0,1219.0,1167.0,1530.0,1191.0,1388.0,1302.0,1170.0,1302.0,1428.0
Cap Spending USD Mil,-280.0,-271.0,-129.0,-207.0,-219.0,-266.0,-216.0,-216.0,-149.0,-204.0,-251.0
Free Cash Flow USD Mil,1036.0,858.0,1089.0,960.0,1312.0,925.0,1172.0,1086.0,1020.0,1099.0,1177.0
Free Cash Flow Per Share * USD,6.04,5.28,6.69,5.82,7.45,6.33,7.15,7.82,7.41,7.9,
Working Capital USD Mil,1912.0,1118.0,1384.0,1914.0,2012.0,2011.0,2819.0,3233.0,2842.0,1384.0,
