Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3180.0,3494.0,2946.0,2690.0,2759.0,2716.0,2632.0,2871.0,2820.0,3019.0,3059.0
Gross Margin %,46.0,44.5,49.0,50.1,48.5,53.0,53.5,55.9,54.6,55.6,57.3
Operating Income USD Mil,907.0,862.0,786.0,637.0,554.0,604.0,574.0,691.0,550.0,624.0,649.0
Operating Margin %,28.5,24.7,26.7,23.7,20.1,22.2,21.8,24.1,19.5,20.7,21.2
Net Income USD Mil,855.0,733.0,704.0,585.0,521.0,542.0,612.0,364.0,456.0,511.0,693.0
Earnings Per Share USD,3.89,3.48,3.5,2.95,2.67,2.76,3.12,1.88,2.39,2.7,3.67
Dividends USD,0.75,0.75,0.75,1.5,1.6,1.75,1.8,1.89,2.01,2.04,2.04
Payout Ratio % *,19.3,21.6,21.4,50.8,48.0,63.4,61.2,114.8,71.2,76.1,55.6
Shares Mil,220.0,211.0,201.0,198.0,195.0,196.0,196.0,194.0,191.0,189.0,189.0
Book Value Per Share * USD,10.83,10.99,14.16,15.69,15.76,18.05,18.23,16.87,17.05,17.83,19.39
Operating Cash Flow USD Mil,682.0,862.0,1094.0,771.0,822.0,685.0,630.0,523.0,280.0,706.0,676.0
Cap Spending USD Mil,-160.0,-127.0,-57.0,-36.0,-41.0,-45.0,-57.0,-78.0,-84.0,-97.0,-144.0
Free Cash Flow USD Mil,522.0,736.0,1038.0,735.0,781.0,640.0,573.0,445.0,196.0,609.0,532.0
Free Cash Flow Per Share * USD,2.38,3.49,5.16,3.71,3.8,3.26,3.05,2.3,1.03,3.04,
Working Capital USD Mil,1531.0,1505.0,1710.0,1830.0,1698.0,1627.0,1690.0,1478.0,1345.0,1480.0,
