Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,61.0,3202.0,3803.0,3791.0,3837.0,3916.0,3653.0,3771.0,4525.0
Gross Margin %,,,36.4,37.9,38.4,39.6,39.1,38.6,38.4,38.7,38.6
Operating Income USD Mil,,,6.0,388.0,395.0,443.0,363.0,463.0,449.0,406.0,486.0
Operating Margin %,,,9.7,12.1,10.4,11.7,9.5,11.8,12.3,10.8,10.7
Net Income USD Mil,,,6.0,329.0,279.0,297.0,228.0,337.0,340.0,260.0,310.0
Earnings Per Share USD,,,,1.78,1.5,1.59,1.22,1.83,1.87,1.45,1.72
Dividends USD,,,,,0.1,0.4,0.47,0.51,0.56,0.62,0.69
Payout Ratio % *,,,,,,25.5,36.0,30.0,31.3,33.6,40.4
Shares Mil,,,,184.0,185.0,186.0,186.0,184.0,181.0,180.0,181.0
Book Value Per Share * USD,,,,,10.57,11.17,11.69,12.03,11.45,12.41,13.71
Operating Cash Flow USD Mil,,,8.0,9.0,449.0,396.0,324.0,416.0,464.0,497.0,602.0
Cap Spending USD Mil,,,-1.0,-2.0,-126.0,-112.0,-126.0,-119.0,-117.0,-124.0,-153.0
Free Cash Flow USD Mil,,,7.0,7.0,323.0,284.0,198.0,297.0,347.0,373.0,449.0
Free Cash Flow Per Share * USD,,,,,-0.01,1.53,1.11,1.63,1.66,1.94,
Working Capital USD Mil,,,11.0,16.0,825.0,1093.0,1156.0,1194.0,1182.0,601.0,
