Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2999.0,3094.0,3237.0,3416.0,3536.0,3637.0,3585.0,3911.0,5387.0,5593.0,5532.0
Gross Margin %,34.4,33.7,33.7,33.5,32.9,32.7,28.4,27.1,24.6,23.3,23.1
Operating Income USD Mil,359.0,346.0,355.0,376.0,358.0,354.0,294.0,305.0,348.0,288.0,271.0
Operating Margin %,12.0,11.2,11.0,11.0,10.1,9.7,8.2,7.8,6.5,5.1,4.9
Net Income USD Mil,225.0,200.0,212.0,225.0,213.0,210.0,201.0,223.0,187.0,171.0,157.0
Earnings Per Share USD,1.69,1.69,1.78,1.89,1.92,2.03,1.97,2.24,1.91,1.79,1.67
Dividends USD,,,0.1,0.42,0.5,0.58,0.68,0.82,0.9,0.98,1.02
Payout Ratio % *,,,5.6,21.3,26.0,28.1,31.4,37.4,40.1,51.9,60.0
Shares Mil,133.0,118.0,119.0,119.0,111.0,104.0,102.0,100.0,98.0,96.0,94.0
Book Value Per Share * USD,8.21,9.73,11.68,12.81,12.51,12.79,14.01,14.09,13.75,14.36,14.42
Operating Cash Flow USD Mil,265.0,124.0,265.0,263.0,321.0,299.0,196.0,263.0,156.0,163.0,295.0
Cap Spending USD Mil,-36.0,-32.0,-30.0,-37.0,-30.0,-22.0,-40.0,-63.0,-79.0,-47.0,-34.0
Free Cash Flow USD Mil,229.0,92.0,236.0,226.0,292.0,277.0,155.0,200.0,77.0,116.0,261.0
Free Cash Flow Per Share * USD,1.73,0.77,1.98,2.2,2.63,2.41,2.27,1.5,-0.59,1.77,
Working Capital USD Mil,519.0,603.0,785.0,863.0,874.0,913.0,872.0,996.0,918.0,900.0,
