Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,39540.0,36117.0,40040.0,43218.0,46061.0,48607.0,47142.0,49161.0,49247.0,48005.0,47789.0
Gross Margin %,64.1,63.9,64.0,61.4,61.2,60.6,58.9,60.4,62.9,63.0,62.3
Operating Income USD Mil,9442.0,7322.0,9164.0,7674.0,10065.0,11196.0,9345.0,10770.0,12660.0,11973.0,11852.0
Operating Margin %,23.9,20.3,22.9,17.8,21.9,23.0,19.8,21.9,25.7,24.9,24.8
Net Income USD Mil,8052.0,6134.0,7767.0,6490.0,8041.0,9983.0,7853.0,8981.0,10739.0,9609.0,9681.0
Earnings Per Share USD,1.31,1.05,1.33,1.17,1.49,1.86,1.49,1.75,2.11,1.9,1.92
Dividends USD,,,,0.18,0.28,0.62,0.72,0.8,0.94,1.1,1.13
Payout Ratio % *,,,,4.7,18.8,29.4,47.3,45.4,44.1,54.3,58.9
Shares Mil,6163.0,5857.0,5848.0,5563.0,5404.0,5380.0,5281.0,5146.0,5088.0,5049.0,5031.0
Book Value Per Share * USD,58.51,88.19,98.75,101.8,128.47,134.63,143.71,188.16,234.31,233.14,254.46
Operating Cash Flow USD Mil,12089.0,9897.0,10173.0,10079.0,11491.0,12894.0,12332.0,12552.0,13570.0,13876.0,14226.0
Cap Spending USD Mil,-1268.0,-1005.0,-1008.0,-1174.0,-1126.0,-1160.0,-1275.0,-1227.0,-1146.0,-964.0,-857.0
Free Cash Flow USD Mil,10821.0,8892.0,9165.0,8905.0,10365.0,11734.0,11057.0,11325.0,12424.0,12912.0,13369.0
Free Cash Flow Per Share * USD,17.62,20.04,17.44,19.23,25.45,25.87,28.17,34.0,47.0,44.51,
Working Capital USD Mil,21841.0,30522.0,32188.0,39725.0,44202.0,43329.0,47305.0,52660.0,53808.0,56120.0,
