Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,11252.0,11467.0,9916.0,10382.0,10894.0,11818.0,12695.0,12115.0,10964.0,10023.0,10023.0
Gross Margin %,15.4,13.6,13.4,15.0,15.9,15.6,16.3,16.2,16.1,17.7,17.7
Operating Income USD Mil,643.0,621.0,400.0,519.0,596.0,669.0,528.0,446.0,339.0,392.0,392.0
Operating Margin %,5.7,5.4,4.0,5.0,5.5,5.7,4.2,3.7,3.1,3.9,3.9
Net Income USD Mil,421.0,400.0,246.0,331.0,379.0,423.0,328.0,303.0,210.0,294.0,294.0
Earnings Per Share USD,3.38,3.21,1.96,2.6,2.94,3.23,2.48,2.4,1.73,2.42,2.42
Dividends USD,,,,,,,,,,0.45,0.45
Payout Ratio % *,,,,,,,,,,16.0,18.6
Shares Mil,124.0,125.0,126.0,127.0,129.0,131.0,132.0,126.0,121.0,120.0,120.0
Book Value Per Share * USD,18.3,21.19,22.74,25.93,28.14,31.08,34.16,35.16,36.58,35.1,36.76
Operating Cash Flow USD Mil,313.0,533.0,197.0,236.0,300.0,449.0,722.0,485.0,680.0,575.0,575.0
Cap Spending USD Mil,-115.0,-56.0,-49.0,-99.0,-103.0,-127.0,-132.0,-88.0,-78.0,-118.0,-118.0
Free Cash Flow USD Mil,199.0,478.0,148.0,138.0,197.0,321.0,590.0,396.0,602.0,457.0,457.0
Free Cash Flow Per Share * USD,1.6,3.84,1.18,1.08,1.31,3.62,2.79,4.0,3.92,4.2,
Working Capital USD Mil,1173.0,1523.0,1528.0,1099.0,1865.0,2152.0,1542.0,1302.0,1082.0,1070.0,
