Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,20013.0,24480.0,14942.0,19157.0,24119.0,20180.0,21452.0,21947.0,12699.0,10398.0,12512.0
Gross Margin %,65.9,68.3,64.1,66.7,69.4,67.6,69.7,69.0,54.3,50.1,55.3
Operating Income USD Mil,8578.0,11371.0,5038.0,7359.0,10757.0,6279.0,7883.0,8680.0,702.0,-728.0,1229.0
Operating Margin %,42.9,46.5,33.7,38.4,44.6,31.1,36.7,39.5,5.5,-7.0,9.8
Net Income USD Mil,5400.0,6857.0,2915.0,4530.0,6771.0,4598.0,5903.0,616.0,-7829.0,-574.0,542.0
Earnings Per Share USD,6.44,8.34,3.58,5.56,8.32,5.67,7.32,0.79,-10.23,-0.75,0.71
Dividends USD,0.94,1.21,1.31,1.47,1.84,2.16,2.56,2.88,2.97,3.02,3.05
Payout Ratio % *,15.5,14.5,36.5,26.2,23.1,37.8,42.8,39.1,,,429.5
Shares Mil,874.0,821.0,813.0,813.0,812.0,810.0,805.0,781.0,766.0,763.0,765.0
Book Value Per Share * USD,27.54,33.71,35.82,39.97,44.98,49.68,53.76,56.42,39.12,29.17,27.01
Operating Cash Flow USD Mil,6798.0,10652.0,5813.0,9349.0,12281.0,11312.0,12927.0,11068.0,3351.0,3383.0,4490.0
Cap Spending USD Mil,-4878.0,-9365.0,-5363.0,-3940.0,-7518.0,-10226.0,-9037.0,-8388.0,-5864.0,-2831.0,-3198.0
Free Cash Flow USD Mil,1920.0,1287.0,450.0,5409.0,4763.0,1086.0,3890.0,2680.0,-2513.0,552.0,1292.0
Free Cash Flow Per Share * USD,2.29,1.57,0.55,6.65,6.04,1.34,4.39,1.69,-2.63,0.47,
Working Capital USD Mil,2329.0,1038.0,1994.0,5234.0,3595.0,2202.0,2889.0,5629.0,2560.0,2066.0,
