Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,11.36,29.09,5.1,6.19,8.85,8.21,9.11,9.63,7.28,9.95,5.85
Accounts Receivable,5.81,0.16,0.26,0.23,0.73,0.55,0.33,0.36,0.38,0.33,0.34
Inventory,18.48,3.93,4.93,4.82,4.81,4.94,5.39,5.92,6.24,4.47,4.5
Other Current Assets,4.37,7.52,5.44,4.76,4.91,4.18,4.08,4.04,4.8,1.06,0.99
Total Current Assets,40.01,40.7,15.74,15.99,19.29,17.87,18.9,19.95,18.71,15.81,11.68
Net PP&E,15.48,8.08,7.32,6.36,6.0,5.95,5.82,5.75,6.09,4.26,4.32
Intangibles,22.64,11.45,47.2,46.23,46.73,48.83,49.43,50.28,53.21,37.71,39.64
Other Long-Term Assets,21.87,39.77,29.74,31.41,27.98,27.34,25.84,24.02,21.99,42.22,44.37
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.56,1.82,1.35,1.41,1.36,1.28,1.17,1.21,1.23,0.93,0.61
Short-Term Debt,5.39,0.5,2.11,,1.62,4.13,1.51,2.9,0.01,,
Taxes Payable,,,,0.62,0.6,,,,,,
Accrued Liabilities,20.96,21.43,16.39,14.12,14.82,12.36,14.82,15.17,17.1,12.54,11.61
Other Short-Term Liabilities,3.92,2.5,1.94,2.13,2.28,5.58,2.75,2.98,3.41,2.59,2.86
Total Current Liabilities,32.83,26.24,21.79,18.29,20.68,23.35,20.25,22.26,21.76,16.06,15.09
Long-Term Debt,13.92,26.97,30.5,32.6,35.41,35.15,40.14,39.72,39.7,30.22,31.45
Other Long-Term Liabilities,20.82,36.4,36.62,35.23,33.95,32.53,27.8,29.28,29.7,25.92,25.91
Total Liabilities,67.57,89.61,88.91,86.12,90.04,91.03,88.18,91.26,91.15,72.2,72.45
Total Stockholders' Equity,32.43,10.39,11.09,13.88,9.96,8.97,11.82,8.74,8.85,27.8,27.55
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
