Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,,,,,,,,824.0,952.0,1179.0,991.0
Gross Margin %,,,,,,,,17.0,21.0,18.8,9.3
Operating Income THB Mil,,,,,,,,25.0,73.0,79.0,-51.0
Operating Margin %,,,,,,,,3.0,7.7,6.7,-5.1
Net Income THB Mil,,,,,,,,20.0,54.0,61.0,-58.0
Earnings Per Share THB,,,,,,,,0.3,0.42,0.28,-0.26
Dividends THB,,,,,,,,,,0.08,0.09
Payout Ratio % *,,,,,,,,,,36.3,
Shares Mil,,,,,,,,66.0,129.0,220.0,220.0
Book Value Per Share * THB,,,,,,,,,,1.91,1.55
Operating Cash Flow THB Mil,,,,,,,,26.0,47.0,41.0,-39.0
Cap Spending THB Mil,,,,,,,,-20.0,-29.0,-38.0,-29.0
Free Cash Flow THB Mil,,,,,,,,6.0,18.0,4.0,-68.0
Free Cash Flow Per Share * THB,,,,,,,,,,-0.34,
Working Capital THB Mil,,,,,,,,-15.0,236.0,289.0,
