Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.75,4.25,7.41,,14.8,4.05,5.72,6.56,3.43,3.1,2.95
Accounts Receivable,13.05,12.22,10.55,11.98,12.91,11.08,11.91,10.75,8.75,9.0,9.89
Inventory,8.57,9.27,8.53,9.25,8.59,8.49,8.96,8.45,7.28,7.31,7.29
Other Current Assets,2.51,1.61,3.07,10.41,2.43,4.08,2.04,1.99,1.71,1.49,1.2
Total Current Assets,27.88,27.35,29.56,31.65,38.74,27.7,28.63,27.75,21.18,20.9,21.33
Net PP&E,45.16,54.98,52.63,50.26,46.22,45.32,45.13,46.14,40.36,43.32,42.98
Intangibles,15.11,7.53,8.96,9.1,8.69,13.42,12.65,13.15,12.19,11.73,11.57
Other Long-Term Assets,11.85,10.14,8.85,9.0,6.35,13.57,13.6,12.96,26.27,24.05,24.12
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,8.88,7.87,8.06,10.08,9.26,8.63,9.2,9.29,6.79,6.92,7.12
Short-Term Debt,1.11,3.08,1.19,1.23,2.66,1.38,2.1,2.59,1.39,0.72,2.83
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,1.66,1.65,1.85,6.44,1.73,1.58,4.97,5.24,4.64,4.57,4.45
Other Short-Term Liabilities,4.26,5.06,4.61,,3.9,3.95,,,,,
Total Current Liabilities,15.9,17.67,15.7,17.75,17.55,15.54,16.26,17.11,12.83,12.21,14.4
Long-Term Debt,26.3,41.79,34.17,32.95,34.04,30.16,28.0,30.09,29.1,33.21,33.63
Other Long-Term Liabilities,21.9,25.05,26.55,22.36,23.88,34.69,30.03,34.96,45.38,41.56,37.43
Total Liabilities,64.1,84.51,76.42,73.06,75.48,80.39,74.29,82.17,87.3,86.98,85.47
Total Stockholders' Equity,35.9,15.49,23.58,26.94,24.52,19.61,25.71,17.83,12.7,13.02,14.53
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
