Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2633.0,3115.0,2826.0,3116.0,3036.0,3410.0,3130.0,3258.0,3277.0,3282.0,3331.0
Gross Margin %,30.5,31.5,31.2,33.7,36.2,37.2,38.4,37.2,32.8,36.6,37.5
Operating Income USD Mil,228.0,500.0,334.0,387.0,587.0,639.0,539.0,495.0,194.0,528.0,530.0
Operating Margin %,8.7,16.1,11.8,12.4,19.3,18.7,17.2,15.2,5.9,16.1,15.9
Net Income USD Mil,132.0,305.0,229.0,173.0,365.0,416.0,293.0,308.0,489.0,209.0,22.0
Earnings Per Share USD,0.85,2.01,1.56,1.18,2.55,3.0,2.16,2.29,3.66,1.56,0.16
Dividends USD,0.2,0.24,0.25,0.25,0.3,0.41,0.54,0.6,0.66,0.66,0.66
Payout Ratio % *,20.1,11.0,14.8,17.7,15.5,12.6,17.0,17.8,57.6,347.4,31.1
Shares Mil,155.0,152.0,147.0,146.0,143.0,139.0,136.0,134.0,134.0,135.0,135.0
Book Value Per Share * USD,7.08,6.22,7.42,7.91,9.44,10.75,9.96,12.93,15.81,15.59,15.79
Operating Cash Flow USD Mil,270.0,308.0,302.0,355.0,381.0,359.0,328.0,373.0,-357.0,498.0,429.0
Cap Spending USD Mil,-115.0,-175.0,-161.0,-142.0,-190.0,-206.0,-222.0,-224.0,-109.0,-131.0,-93.0
Free Cash Flow USD Mil,154.0,133.0,140.0,212.0,192.0,153.0,106.0,149.0,-466.0,367.0,336.0
Free Cash Flow Per Share * USD,1.0,0.88,0.96,1.45,1.4,1.1,0.87,-0.4,-2.3,1.61,
Working Capital USD Mil,442.0,674.0,779.0,682.0,950.0,1046.0,958.0,1024.0,1518.0,1411.0,
