Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,7.47,10.51,11.9,15.29,12.7,7.66,7.42,7.5,4.2,3.45,3.07
Accounts Receivable,13.6,12.88,11.15,12.7,12.53,11.74,12.54,13.05,13.0,12.51,13.79
Inventory,8.45,8.09,7.24,8.34,8.45,8.36,8.55,9.5,9.31,8.61,9.36
Other Current Assets,2.01,1.75,1.71,1.76,2.07,1.24,1.39,1.81,1.57,1.03,1.12
Total Current Assets,31.53,33.23,32.0,38.09,35.75,28.99,29.9,31.87,28.08,25.6,27.34
Net PP&E,10.97,11.09,10.52,9.89,10.53,11.17,10.91,9.21,9.91,9.35,9.65
Intangibles,54.09,53.49,54.56,49.93,52.56,54.96,54.03,53.47,59.75,62.93,60.75
Other Long-Term Assets,3.42,2.2,2.92,2.08,1.15,4.87,5.16,5.45,2.25,2.13,2.26
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.16,4.75,4.53,5.48,5.72,6.24,6.39,6.77,7.55,8.21,9.3
Short-Term Debt,7.91,2.86,0.45,0.2,0.01,5.85,2.12,8.56,1.75,4.1,4.61
Taxes Payable,,0.24,0.49,0.93,0.69,0.6,0.56,0.43,0.37,0.73,0.18
Accrued Liabilities,7.35,7.88,6.82,7.34,5.84,5.95,5.55,6.44,5.86,5.73,6.56
Other Short-Term Liabilities,0.41,,,,0.4,0.38,0.28,0.23,0.33,0.42,
Total Current Liabilities,20.83,15.73,12.3,13.95,12.66,19.02,14.91,22.43,15.86,19.18,20.65
Long-Term Debt,17.99,23.65,23.16,20.91,23.01,20.96,23.98,24.78,30.36,31.7,28.45
Other Long-Term Liabilities,12.27,12.41,12.74,12.27,12.44,12.91,11.5,12.07,11.49,11.56,10.15
Total Liabilities,51.1,51.79,48.19,47.14,48.11,52.9,50.38,59.29,57.72,62.44,59.25
Total Stockholders' Equity,48.9,48.21,51.81,52.86,51.89,47.1,49.62,40.71,42.28,37.56,40.75
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
