Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,95327.0,113136.0,64599.0,82233.0,125987.0,138393.0,138074.0,130844.0,87804.0,75659.0,88300.0
Gross Margin %,10.1,6.4,3.5,4.6,4.6,5.3,4.7,6.4,10.1,8.2,7.3
Operating Income USD Mil,6918.0,761.0,83.0,1876.0,3680.0,5044.0,3957.0,5902.0,6358.0,3572.0,3366.0
Operating Margin %,7.3,0.7,0.1,2.3,2.9,3.6,2.9,4.5,7.2,4.7,3.8
Net Income USD Mil,5234.0,-1131.0,-1982.0,324.0,2090.0,2083.0,2720.0,3630.0,3990.0,2289.0,2061.0
Earnings Per Share USD,8.88,-2.16,-3.67,0.57,3.68,3.75,4.97,6.85,7.99,4.94,4.62
Dividends USD,0.48,0.57,0.6,0.2,0.3,0.65,0.85,1.05,1.7,2.4,2.0
Payout Ratio % *,6.2,,,12.3,5.1,17.3,18.1,14.0,15.5,47.8,43.2
Shares Mil,579.0,524.0,541.0,568.0,569.0,556.0,548.0,530.0,500.0,464.0,448.0
Book Value Per Share * USD,376.4,418.64,340.85,327.76,419.19,425.77,446.27,589.37,783.59,933.94,893.35
Operating Cash Flow USD Mil,5258.0,2992.0,1823.0,3045.0,4038.0,5270.0,5564.0,4241.0,5611.0,4820.0,4820.0
Cap Spending USD Mil,-2260.0,-2790.0,-2327.0,-1730.0,-2355.0,-2931.0,-2121.0,-2153.0,-1618.0,-1278.0,-1279.0
Free Cash Flow USD Mil,2998.0,202.0,-504.0,1315.0,1683.0,2339.0,3443.0,2088.0,3993.0,3542.0,3541.0
Free Cash Flow Per Share * USD,56.52,5.33,-12.18,28.7,65.28,54.84,16.1,107.0,144.44,132.12,
Working Capital USD Mil,2878.0,3241.0,3125.0,4734.0,3264.0,4531.0,6154.0,6634.0,7612.0,8472.0,
