Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,31.71,36.84,39.26,43.6,49.69,55.2,56.92,49.46,50.2,54.53,53.71
Accounts Receivable,10.16,5.82,11.26,13.75,14.2,10.41,9.39,12.81,12.72,10.72,12.07
Inventory,9.48,10.26,10.28,12.31,12.76,12.0,11.85,12.8,14.08,13.25,13.4
Other Current Assets,11.27,13.53,11.76,8.96,4.99,4.69,4.65,5.83,0.94,0.89,0.94
Total Current Assets,62.61,66.45,72.57,78.62,81.64,82.3,82.81,80.91,77.95,79.39,80.13
Net PP&E,7.33,8.09,6.06,5.5,5.44,5.77,5.96,6.52,5.6,5.13,4.92
Intangibles,18.56,13.26,11.4,8.86,7.52,6.83,6.55,7.19,6.84,6.66,6.46
Other Long-Term Assets,11.5,12.21,9.97,7.02,5.4,5.1,4.67,5.38,9.61,8.81,8.5
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.15,1.76,2.76,3.06,2.73,2.19,1.87,2.14,2.15,2.66,2.44
Short-Term Debt,,,,,,,,0.35,,4.52,4.39
Taxes Payable,,,,0.35,,0.21,0.28,1.75,1.58,0.31,1.87
Accrued Liabilities,5.65,,,6.76,,7.15,7.39,7.97,7.16,5.57,8.11
Other Short-Term Liabilities,11.8,13.87,16.99,8.69,14.19,6.75,6.64,8.54,9.32,10.31,8.96
Total Current Liabilities,19.6,15.62,19.75,18.86,16.92,16.29,16.17,20.76,20.2,23.38,25.76
Long-Term Debt,15.36,20.65,20.46,15.96,14.64,14.14,13.5,65.76,61.62,48.45,44.37
Other Long-Term Liabilities,3.54,3.21,2.29,3.99,3.43,3.71,4.08,4.75,4.29,4.2,4.14
Total Liabilities,38.5,39.48,42.5,38.81,34.99,34.14,33.75,91.27,86.11,76.02,74.27
Total Stockholders' Equity,61.5,60.52,57.5,61.19,65.01,65.86,66.25,8.73,13.89,23.98,25.73
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
