Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,10.07,11.21,7.79,8.9,17.47,9.89,8.8,9.51,10.27,6.93,8.96
Accounts Receivable,7.83,5.89,5.01,5.92,9.25,10.6,10.95,10.91,9.99,10.45,12.89
Inventory,1.63,1.16,1.33,1.52,1.63,2.19,1.93,1.59,1.08,1.34,1.15
Other Current Assets,0.8,0.85,1.11,0.89,3.01,0.44,0.43,0.39,0.32,0.25,0.19
Total Current Assets,20.33,19.1,15.24,17.23,31.35,23.13,22.11,22.4,21.65,18.97,23.19
Net PP&E,78.79,78.83,83.1,81.09,66.99,1.46,76.32,75.92,76.43,78.75,74.48
Intangibles,,0.34,0.68,0.81,0.74,0.5,0.16,0.01,,,
Other Long-Term Assets,0.87,1.72,0.98,0.87,0.91,74.92,1.41,1.67,1.92,2.28,2.32
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.18,8.3,9.76,8.03,14.27,,14.3,14.95,14.11,14.26,16.66
Short-Term Debt,8.69,8.1,4.99,5.25,13.85,8.11,7.33,11.91,12.59,15.45,13.82
Taxes Payable,0.06,0.05,0.08,0.07,0.06,0.05,0.03,0.03,0.04,0.02,0.01
Accrued Liabilities,,,,,0.42,0.33,0.43,0.62,0.39,0.54,0.57
Other Short-Term Liabilities,1.1,4.13,2.07,1.1,0.46,17.35,7.79,2.36,2.48,4.49,4.08
Total Current Liabilities,19.03,20.58,16.9,14.46,29.07,25.84,29.88,29.87,29.62,34.75,35.15
Long-Term Debt,21.51,28.03,40.51,34.3,21.95,23.46,23.25,17.78,15.31,11.18,9.68
Other Long-Term Liabilities,,0.19,0.13,0.08,0.19,0.24,0.29,0.21,0.24,3.08,4.4
Total Liabilities,40.54,48.8,57.53,48.83,51.2,49.54,53.42,47.86,45.18,49.01,49.23
Total Stockholders' Equity,59.46,51.2,42.47,51.17,48.8,50.46,46.58,52.14,54.82,50.99,50.77
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
