Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1978.0,2239.0,2430.0,2661.0,2610.0,2817.0,2717.0,2816.0,2989.0,3519.0,4270.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,23.0,-296.0,-3678.0,352.0,707.0,834.0,869.0,853.0,914.0,920.0,1295.0
Operating Margin %,1.1,-13.2,-151.4,13.2,27.1,29.6,32.0,30.3,30.6,26.1,30.3
Net Income USD Mil,75.0,-114.0,-3094.0,312.0,543.0,631.0,641.0,632.0,693.0,712.0,993.0
Earnings Per Share USD,0.25,-0.44,-6.14,0.19,0.59,0.69,0.72,0.72,0.81,0.7,0.83
Dividends USD,1.06,0.66,0.04,0.04,0.1,0.16,0.19,0.21,0.25,0.29,0.32
Payout Ratio % *,424.0,,,21.1,14.0,22.5,24.7,28.2,29.4,39.4,38.6
Shares Mil,303.0,366.0,533.0,730.0,868.0,863.0,844.0,833.0,817.0,919.0,1107.0
Book Value Per Share * USD,16.24,14.61,5.1,5.34,5.83,6.41,6.71,7.27,7.79,8.58,8.91
Operating Cash Flow USD Mil,-343.0,1237.0,1966.0,841.0,1595.0,1002.0,1013.0,889.0,1033.0,1215.0,1636.0
Cap Spending USD Mil,-82.0,-60.0,-49.0,-68.0,-144.0,-130.0,-102.0,-59.0,-93.0,-120.0,-201.0
Free Cash Flow USD Mil,-425.0,1177.0,1917.0,773.0,1451.0,872.0,911.0,830.0,940.0,1095.0,1434.0
Free Cash Flow Per Share * USD,-1.4,3.22,3.6,1.06,1.47,1.01,1.19,0.94,0.62,1.46,
Working Capital USD Mil,,,,,,,,,,,
