Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,7672.0,8541.0,8727.0,9156.0,11652.0,14072.0,8257.0,8790.0,8592.0,8979.0,9349.0
Gross Margin %,77.0,73.9,71.6,72.0,70.3,70.0,81.9,81.1,79.4,77.6,76.8
Operating Income USD Mil,613.0,2076.0,1457.0,2054.0,2373.0,2888.0,2454.0,2476.0,2197.0,2325.0,2240.0
Operating Margin %,8.0,24.3,16.7,22.4,20.4,20.5,29.7,28.2,25.6,25.9,24.0
Net Income USD Mil,348.0,1779.0,2389.0,1801.0,3229.0,2609.0,2856.0,46.0,1725.0,7266.0,7521.0
Earnings Per Share USD,0.25,1.36,1.83,1.36,2.46,1.99,2.18,0.04,1.42,6.35,6.65
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,1376.0,1313.0,1305.0,1327.0,1313.0,1313.0,1313.0,1251.0,1220.0,1144.0,1098.0
Book Value Per Share * USD,94.62,120.04,138.87,146.2,176.11,210.2,230.17,238.68,95.33,130.06,207.29
Operating Cash Flow USD Mil,2641.0,2882.0,2908.0,2746.0,3274.0,3838.0,4995.0,5677.0,4033.0,2826.0,2778.0
Cap Spending USD Mil,-454.0,-566.0,-567.0,-724.0,-963.0,-1257.0,-1250.0,-1271.0,-668.0,-626.0,-610.0
Free Cash Flow USD Mil,2187.0,2316.0,2341.0,2022.0,2310.0,2581.0,3745.0,4406.0,3365.0,2200.0,2168.0
Free Cash Flow Per Share * USD,17.35,24.4,23.45,18.89,24.21,25.63,33.84,52.98,45.58,46.74,
Working Capital USD Mil,4023.0,2582.0,4818.0,6549.0,5927.0,10474.0,10644.0,9000.0,5641.0,5028.0,
