Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,32.78,28.88,32.57,40.2,27.55,32.45,25.28,28.23,25.11,16.56,12.52
Accounts Receivable,14.02,14.86,12.65,11.49,11.42,10.83,9.64,8.87,10.23,9.63,9.15
Inventory,10.83,12.53,10.4,9.7,10.34,9.58,9.03,8.97,10.09,9.93,11.42
Other Current Assets,9.07,9.23,8.89,8.65,8.81,8.84,8.99,8.54,3.47,2.35,2.8
Total Current Assets,66.7,65.49,64.5,70.04,58.13,61.7,52.94,54.61,48.9,38.47,35.89
Net PP&E,13.48,12.68,10.45,7.33,7.16,7.18,6.87,6.2,7.38,7.68,8.62
Intangibles,12.58,12.3,17.54,16.29,28.33,27.0,37.05,35.03,36.5,48.27,48.85
Other Long-Term Assets,7.23,9.53,7.51,6.33,6.38,4.12,3.14,4.17,7.23,5.58,6.64
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.61,3.61,2.21,2.68,2.78,2.18,1.99,1.86,2.52,2.14,2.13
Short-Term Debt,0.23,0.27,0.2,0.23,0.14,,0.16,4.1,4.73,1.12,2.94
Taxes Payable,,0.39,1.48,0.44,0.94,0.53,0.83,1.88,0.87,0.2,0.67
Accrued Liabilities,11.65,12.87,11.34,10.74,10.23,10.61,13.16,16.62,12.56,11.18,8.69
Other Short-Term Liabilities,2.64,2.09,0.66,0.65,0.65,0.89,0.73,0.74,0.87,0.78,0.74
Total Current Liabilities,18.13,19.23,15.89,14.73,14.74,14.21,16.88,25.2,21.56,15.4,15.16
Long-Term Debt,,,,9.15,14.12,13.22,17.4,18.33,20.02,32.72,30.69
Other Long-Term Liabilities,8.74,9.66,11.41,10.28,9.21,7.47,8.26,7.95,6.03,5.14,5.63
Total Liabilities,26.86,28.89,27.3,34.16,38.07,34.9,42.53,51.48,47.61,53.27,51.48
Total Stockholders' Equity,73.14,71.11,72.7,65.84,61.93,65.1,57.47,48.52,52.39,46.73,48.52
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
