Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,13.41,11.78,12.82,10.27,10.24,9.34,8.77,7.21,7.42,7.26,9.47
Accounts Receivable,23.9,25.16,24.58,24.88,25.39,25.65,25.22,27.08,25.84,24.9,22.3
Inventory,2.21,2.47,2.29,2.16,2.23,1.92,1.83,1.79,1.4,1.32,1.41
Other Current Assets,4.63,5.33,5.2,5.1,5.88,4.56,4.86,5.97,3.81,3.88,3.61
Total Current Assets,44.16,44.74,44.89,42.41,43.74,41.47,40.68,42.05,38.47,37.36,36.78
Net PP&E,12.52,13.06,12.99,12.42,11.92,11.74,10.95,9.16,9.71,9.22,9.09
Intangibles,13.61,19.27,20.82,25.23,25.43,27.71,27.77,28.64,32.13,34.81,33.51
Other Long-Term Assets,29.71,22.93,21.3,19.93,18.91,19.08,20.6,20.15,19.69,18.61,20.61
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,6.69,6.4,6.82,6.88,7.31,6.67,5.91,5.84,5.46,5.29,4.47
Short-Term Debt,10.16,10.26,3.82,5.97,7.27,7.7,5.44,4.88,5.85,6.4,3.53
Taxes Payable,3.05,,3.51,3.72,2.85,4.15,3.67,4.33,2.58,2.75,2.5
Accrued Liabilities,8.76,10.23,8.92,8.98,8.27,8.05,6.85,8.55,7.16,7.05,6.8
Other Short-Term Liabilities,8.14,11.85,9.95,10.21,10.47,10.03,9.95,10.11,9.97,9.39,8.75
Total Current Liabilities,36.79,38.74,33.02,35.75,36.18,36.59,31.81,33.69,31.01,30.88,26.06
Long-Term Debt,19.13,20.72,20.12,19.26,19.63,20.21,26.03,29.84,30.25,29.5,33.98
Other Long-Term Liabilities,20.44,28.24,26.1,24.68,26.9,27.38,24.1,26.37,25.83,24.09,23.83
Total Liabilities,76.36,87.71,79.24,79.69,82.7,84.18,81.94,89.9,87.09,84.47,83.86
Total Stockholders' Equity,23.64,12.29,20.76,20.31,17.3,15.82,18.06,10.1,12.91,15.53,16.14
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
