Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.89,6.11,5.86,13.09,3.71,4.39,4.39,4.23,5.71,8.4,14.97
Accounts Receivable,11.45,11.18,11.93,11.12,10.69,11.71,11.91,11.38,10.54,9.95,9.3
Inventory,6.86,6.75,7.02,6.46,6.28,6.35,6.61,6.9,6.91,5.77,6.23
Other Current Assets,3.38,4.3,4.03,3.14,1.81,2.45,3.56,3.33,1.64,3.7,2.12
Total Current Assets,28.58,28.34,28.84,33.81,22.49,24.91,26.47,25.85,24.8,27.82,32.62
Net PP&E,6.81,6.97,6.64,5.04,4.55,5.4,4.7,4.26,4.01,3.4,3.33
Intangibles,62.21,63.06,62.9,60.11,71.86,67.99,65.97,67.11,66.41,62.39,59.39
Other Long-Term Assets,2.4,1.63,1.62,1.04,1.1,1.71,2.86,2.78,4.78,6.39,4.67
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,6.32,5.78,5.18,5.02,4.52,4.33,4.24,4.21,3.67,3.93,3.46
Short-Term Debt,0.02,,,0.07,,0.05,0.07,0.03,0.03,0.03,0.03
Taxes Payable,,,,,,,0.3,0.24,0.07,0.19,
Accrued Liabilities,9.37,11.25,10.74,10.77,11.1,10.49,6.43,5.84,5.75,5.52,9.08
Other Short-Term Liabilities,2.86,0.58,0.27,0.19,0.04,0.03,4.24,4.14,3.97,4.44,0.05
Total Current Liabilities,18.57,17.61,16.19,16.05,15.65,14.89,15.27,14.45,13.48,14.11,12.61
Long-Term Debt,17.5,17.36,18.22,13.21,24.64,24.06,23.62,25.44,24.28,24.44,23.41
Other Long-Term Liabilities,10.52,11.55,12.43,10.73,11.66,11.33,10.57,10.71,11.58,11.1,10.47
Total Liabilities,46.59,46.52,46.84,39.99,51.95,50.28,49.46,50.6,49.34,49.64,46.49
Total Stockholders' Equity,53.41,53.48,53.16,60.01,48.05,49.72,50.54,49.4,50.66,50.36,53.51
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
