Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,,0.12,6.78,11.04,15.31,8.53,13.47,22.41
Accounts Receivable,,,,,7.81,9.11,9.27,5.38,4.05,5.92,5.23
Inventory,,,,,27.11,22.11,19.49,12.15,11.5,12.48,11.28
Other Current Assets,,,,,4.6,1.2,2.93,3.91,4.61,2.59,1.43
Total Current Assets,,,,,39.65,39.2,42.73,36.75,28.69,34.46,40.36
Net PP&E,,,,,58.38,59.84,56.46,61.51,70.59,64.97,59.11
Intangibles,,,,,,,,,,,
Other Long-Term Assets,,,,,1.98,0.95,0.81,1.75,0.72,0.57,0.53
Total Assets,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,19.75,28.54,33.72,27.89,27.83,21.82,24.38
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,,1.24,2.31,2.97,2.55,2.42,2.43,1.97
Accrued Liabilities,,,,,1.61,8.41,5.28,9.09,5.85,22.89,23.37
Other Short-Term Liabilities,,,,,0.04,0.09,0.13,0.14,0.18,0.17,0.18
Total Current Liabilities,,,,,22.64,39.35,42.1,39.68,36.28,47.32,49.9
Long-Term Debt,,,,,,39.13,52.56,54.92,58.16,47.78,49.61
Other Long-Term Liabilities,,,,,32.34,21.52,5.34,5.39,5.56,4.9,0.49
Total Liabilities,,,,,54.98,100.0,100.0,100.0,100.0,100.0,100.0
Total Stockholders' Equity,,,,,45.02,,,,,,
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
