Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,,,,10.05,10.17,11.81,15.03,13.03
Accounts Receivable,,,,,,,64.86,68.24,57.41,60.19,63.02
Inventory,,,,,,,,,,,
Other Current Assets,,,,,,,1.39,1.72,2.27,2.52,1.9
Total Current Assets,,,,,,,76.3,80.14,71.49,77.74,77.96
Net PP&E,,,,,,,4.48,4.21,4.65,4.48,3.93
Intangibles,,,,,,,17.98,15.26,15.33,12.9,12.05
Other Long-Term Assets,,,,,,,1.24,0.39,8.52,4.89,6.06
Total Assets,,,,,,,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,,0.38,0.52,0.5,0.58,2.58
Short-Term Debt,,,,,,,5.76,4.99,,,
Taxes Payable,,,,,,,0.19,0.13,0.11,0.19,0.24
Accrued Liabilities,,,,,,,4.02,6.54,4.08,4.41,4.41
Other Short-Term Liabilities,,,,,,,48.42,48.42,42.45,45.81,47.6
Total Current Liabilities,,,,,,,58.77,60.61,47.15,50.99,54.83
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,,,,,,,2.66,1.76,5.21,4.57,4.31
Total Liabilities,,,,,,,61.43,62.37,52.36,55.56,59.13
Total Stockholders' Equity,,,,,,,38.57,37.63,47.64,44.44,40.87
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
