Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,20.0,25.0,43.0,63.0,76.0,126.0,140.0
Gross Margin %,,,,,32.9,28.0,32.6,30.2,27.8,36.5,38.6
Operating Income USD Mil,,,,,4.0,4.0,8.0,9.0,3.0,20.0,23.0
Operating Margin %,,,,,18.8,15.0,19.5,13.6,3.9,15.7,16.5
Net Income USD Mil,,,,,3.0,3.0,7.0,6.0,2.0,16.0,19.0
Earnings Per Share USD,,,,,0.05,0.05,0.11,0.1,0.03,0.26,0.3
Dividends USD,,,,,,,,,0.02,0.06,0.1
Payout Ratio % *,,,,,,,,,55.6,6.9,33.5
Shares Mil,,,,,62.0,62.0,62.0,60.0,66.0,64.0,63.0
Book Value Per Share * USD,,,,,,,,0.32,0.43,0.59,0.68
Operating Cash Flow USD Mil,,,,,5.0,3.0,7.0,9.0,6.0,20.0,29.0
Cap Spending USD Mil,,,,,-0.0,-0.0,-1.0,-1.0,-2.0,-1.0,-1.0
Free Cash Flow USD Mil,,,,,5.0,2.0,7.0,8.0,4.0,19.0,28.0
Free Cash Flow Per Share * USD,,,,,,,,0.08,0.04,0.1,
Working Capital USD Mil,,,,,-0.0,-0.0,-1.0,22.0,13.0,19.0,
