Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,13835.0,12501.0,10427.0,13966.0,13735.0,12825.0,12205.0,13045.0,13000.0,13370.0,14625.0
Gross Margin %,53.0,50.0,47.9,53.6,49.3,49.7,52.1,56.9,58.2,61.6,63.5
Operating Income USD Mil,3497.0,2437.0,1991.0,4514.0,2992.0,1973.0,2832.0,3947.0,4274.0,4799.0,5796.0
Operating Margin %,25.3,19.5,19.1,32.3,21.8,15.4,23.2,30.3,32.9,35.9,39.6
Net Income USD Mil,2657.0,1920.0,1470.0,3228.0,2236.0,1759.0,2162.0,2821.0,2986.0,3595.0,4385.0
Earnings Per Share USD,1.84,1.44,1.15,2.62,1.88,1.51,1.91,2.57,2.82,3.48,4.28
Dividends USD,0.3,0.41,0.45,0.49,0.69,0.72,1.07,1.24,1.4,1.64,1.5
Payout Ratio % *,16.4,28.3,39.1,18.7,27.2,,58.0,52.8,48.9,48.4,35.0
Shares Mil,1446.0,1321.0,1269.0,1213.0,1171.0,1146.0,1113.0,1080.0,1043.0,1021.0,1015.0
Book Value Per Share * USD,82.09,99.49,102.48,110.85,135.62,,133.52,147.54,171.4,214.11,213.96
Operating Cash Flow USD Mil,4406.0,3330.0,2643.0,3820.0,3256.0,3414.0,3384.0,3892.0,4268.0,4614.0,4821.0
Cap Spending USD Mil,-686.0,-763.0,-753.0,-1199.0,-816.0,-495.0,-412.0,-385.0,-551.0,-531.0,-574.0
Free Cash Flow USD Mil,3720.0,2567.0,1890.0,2621.0,2440.0,2919.0,2972.0,3507.0,3717.0,4083.0,4247.0
Free Cash Flow Per Share * USD,28.08,26.81,19.47,26.79,30.3,,33.54,46.75,59.4,78.82,
Working Capital USD Mil,4893.0,4258.0,4527.0,5079.0,4329.0,4800.0,5272.0,5106.0,4519.0,5193.0,
