Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.32,11.27,12.34,8.03,7.11,9.01,8.18,4.29,4.95,4.81,4.89
Accounts Receivable,19.48,16.77,16.77,19.54,18.84,18.75,20.92,22.2,20.65,21.48,23.58
Inventory,30.59,28.73,23.88,25.4,26.9,25.96,24.79,25.67,24.14,24.7,23.9
Other Current Assets,3.82,4.22,4.21,4.36,4.28,4.12,3.92,4.0,2.3,2.05,2.15
Total Current Assets,58.2,60.99,57.2,57.32,57.14,57.84,57.81,56.16,52.04,53.04,54.51
Net PP&E,28.39,26.46,25.58,24.68,22.48,22.82,22.95,25.06,24.43,24.95,23.96
Intangibles,7.53,9.18,14.99,15.67,18.24,18.3,18.94,18.46,17.85,19.55,19.32
Other Long-Term Assets,5.88,3.36,2.23,2.32,2.14,1.03,0.31,0.32,5.67,2.46,2.21
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.63,8.27,8.07,8.82,10.13,8.55,9.7,10.49,9.96,11.42,12.25
Short-Term Debt,3.45,1.17,2.36,1.89,7.24,1.95,1.85,1.52,10.25,7.13,0.91
Taxes Payable,,0.05,0.18,0.15,0.49,0.26,0.12,0.23,0.28,0.26,0.58
Accrued Liabilities,13.3,12.17,10.23,11.41,11.57,10.78,11.04,11.64,10.04,9.79,10.16
Other Short-Term Liabilities,0.34,,,,,,,,,,
Total Current Liabilities,26.71,21.67,20.85,22.26,29.43,21.54,22.71,23.88,30.53,28.61,23.91
Long-Term Debt,0.16,13.89,11.74,10.77,3.71,9.31,8.46,7.66,23.7,32.33,38.97
Other Long-Term Liabilities,5.32,6.59,9.35,10.49,11.12,8.85,7.11,7.72,7.07,7.49,6.78
Total Liabilities,32.19,42.15,41.93,43.52,44.26,39.7,38.28,39.26,61.31,68.43,69.66
Total Stockholders' Equity,67.81,57.85,58.07,56.48,55.74,60.3,61.72,60.74,38.69,31.57,30.34
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
