Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,18.0,22.0,31.0,50.0,46.0,45.0,45.0,44.0,48.0,97.0,101.0
Gross Margin %,49.0,51.2,58.0,60.9,53.3,55.9,60.4,57.5,59.4,56.3,57.0
Operating Income GBP Mil,0.0,6.0,8.0,17.0,12.0,12.0,13.0,11.0,17.0,26.0,31.0
Operating Margin %,0.2,29.3,27.0,34.0,26.8,27.4,29.4,25.7,35.1,26.3,30.5
Net Income GBP Mil,-3.0,3.0,4.0,9.0,9.0,9.0,10.0,8.0,13.0,18.0,22.0
Earnings Per Share GBP,-0.02,0.01,0.02,0.03,0.03,0.03,0.04,0.03,0.05,0.04,0.05
Dividends GBP,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Payout Ratio % *,,,3.3,11.1,14.2,22.7,21.5,28.2,31.9,22.3,26.2
Shares Mil,162.0,198.0,212.0,254.0,263.0,263.0,265.0,266.0,279.0,474.0,476.0
Book Value Per Share * GBP,0.04,0.05,0.08,0.15,0.17,0.21,0.22,0.25,0.15,0.36,0.4
Operating Cash Flow GBP Mil,2.0,3.0,8.0,15.0,9.0,12.0,10.0,11.0,8.0,17.0,26.0
Cap Spending GBP Mil,-3.0,-1.0,-8.0,-15.0,-7.0,-13.0,-10.0,-3.0,-134.0,-1.0,-2.0
Free Cash Flow GBP Mil,-1.0,2.0,-0.0,-0.0,2.0,-1.0,0.0,8.0,-126.0,16.0,24.0
Free Cash Flow Per Share * GBP,-0.01,0.01,,,0.03,,-0.03,0.02,0.01,-0.31,
Working Capital GBP Mil,-3.0,-2.0,0.0,-1.0,2.0,-2.0,2.0,4.0,-4.0,-1.0,
