Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,17.73,12.54,17.91,22.24,19.29,22.14,27.29,28.43,28.74,29.38,32.56
Accounts Receivable,11.94,8.44,8.01,10.53,10.12,12.0,10.97,10.58,9.88,11.5,8.84
Inventory,,,,,,,,,,,
Other Current Assets,1.81,0.32,0.93,0.83,0.81,0.9,0.96,1.02,0.81,0.88,0.82
Total Current Assets,31.48,21.3,26.85,33.6,30.22,35.03,39.22,40.03,39.43,41.76,42.22
Net PP&E,3.0,1.97,1.83,1.74,1.86,2.0,2.89,2.33,2.27,1.95,2.01
Intangibles,65.14,76.23,70.89,61.75,65.71,61.46,56.83,56.65,56.88,53.91,53.0
Other Long-Term Assets,0.37,0.49,0.44,2.91,2.21,1.51,1.07,0.99,1.42,2.38,2.77
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.37,0.16,0.13,0.11,0.29,0.19,0.29,0.12,0.18,0.26,0.15
Short-Term Debt,0.8,1.59,,,,,,,,,
Taxes Payable,,,0.64,0.29,0.25,0.31,0.34,0.26,0.17,0.19,0.16
Accrued Liabilities,6.37,3.58,2.91,3.34,3.76,3.99,4.16,4.39,4.03,4.4,3.72
Other Short-Term Liabilities,12.67,9.02,10.22,10.91,13.62,13.82,11.38,11.99,13.36,14.4,13.41
Total Current Liabilities,20.21,14.36,13.89,14.64,17.92,18.31,16.18,16.77,17.73,19.25,17.44
Long-Term Debt,5.41,13.37,,,,,,,,,
Other Long-Term Liabilities,8.23,8.83,17.75,13.43,10.42,7.28,5.35,3.3,1.88,1.89,2.19
Total Liabilities,33.85,36.56,31.64,28.07,28.34,25.59,21.53,20.06,19.62,21.14,19.63
Total Stockholders' Equity,66.15,63.44,68.36,71.93,71.66,74.41,78.47,79.94,80.38,78.86,80.37
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
