Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,7.44,12.86,11.59,18.49,20.57,27.35,17.4,19.49,11.03,11.85,19.86
Accounts Receivable,3.3,4.53,5.18,4.94,5.22,6.51,8.77,8.82,7.07,8.64,9.83
Inventory,,,,,,,,,,,
Other Current Assets,1.87,2.94,3.85,2.15,9.18,3.03,2.5,4.11,1.11,1.38,1.75
Total Current Assets,12.61,20.34,20.63,25.58,34.96,36.9,28.67,32.42,19.21,21.87,31.44
Net PP&E,2.16,4.21,3.99,4.17,4.92,5.78,6.21,6.13,6.86,8.84,7.99
Intangibles,84.11,74.17,74.56,66.76,55.67,54.16,61.69,58.16,69.58,65.84,55.71
Other Long-Term Assets,1.12,1.28,0.81,3.49,4.45,3.16,3.42,3.29,4.35,3.45,4.86
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,10.27,13.16,13.7,13.27,14.63,17.46,16.87,17.18,11.71,13.22,13.69
Short-Term Debt,,,,,,,,,,,2.63
Taxes Payable,,,,,,,0.8,0.66,0.44,0.32,0.14
Accrued Liabilities,3.48,4.26,5.48,4.85,5.12,8.33,6.94,8.35,9.48,6.91,6.21
Other Short-Term Liabilities,7.64,9.15,11.73,10.29,19.5,16.3,17.96,20.21,16.59,18.38,20.8
Total Current Liabilities,21.39,26.57,30.91,28.41,39.25,42.09,42.57,46.41,38.22,38.83,43.46
Long-Term Debt,13.08,26.2,15.08,24.73,19.2,17.63,16.14,19.36,20.65,20.02,19.63
Other Long-Term Liabilities,7.45,7.72,8.83,6.68,7.73,8.09,13.57,14.44,9.75,14.95,12.73
Total Liabilities,41.92,60.5,54.82,59.82,66.18,67.82,72.28,80.22,68.62,73.81,75.82
Total Stockholders' Equity,58.08,39.5,45.18,40.18,33.82,32.18,27.72,19.78,31.38,26.19,24.18
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
