Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,78495.0,51599.0,80285.0,86601.0,77331.0,69190.0,76724.0,77219.0,76354.0,69875.0,71206.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,776.0,-52355.0,-7799.0,13184.0,14722.0,7825.0,19802.0,14701.0,24826.0,21477.0,22762.0
Operating Margin %,1.0,-101.5,-9.7,15.2,19.0,11.3,25.8,19.0,32.5,30.7,32.0
Net Income USD Mil,3617.0,-27684.0,-1606.0,10602.0,11067.0,7541.0,13659.0,7310.0,17242.0,14912.0,15668.0
Earnings Per Share USD,7.2,-56.3,-8.0,3.54,3.63,2.44,4.34,2.2,5.4,4.72,5.19
Dividends USD,21.6,8.61,0.1,,0.03,0.04,0.04,0.04,0.16,0.42,0.8
Payout Ratio % *,300.0,,,,0.5,1.6,1.0,1.4,2.7,6.6,15.4
Shares Mil,500.0,577.0,1210.0,2968.0,2999.0,3016.0,3041.0,3037.0,3007.0,2888.0,2751.0
Book Value Per Share * USD,2263.65,1730.43,699.34,696.19,848.73,802.63,844.74,991.47,1210.5,1587.77,1512.46
Operating Cash Flow USD Mil,-71430.0,96143.0,-55719.0,35686.0,44741.0,14271.0,57410.0,45434.0,39737.0,53932.0,22293.0
Cap Spending USD Mil,,,-1146.0,-2363.0,-3448.0,-3604.0,-3490.0,-3386.0,-3198.0,-2756.0,-3166.0
Free Cash Flow USD Mil,-71430.0,96143.0,-56865.0,33323.0,41293.0,10667.0,53920.0,42048.0,36539.0,51176.0,19127.0
Free Cash Flow Per Share * USD,-1560.75,2294.44,-614.36,139.22,178.9,46.11,266.73,61.31,272.5,169.2,
Working Capital USD Mil,,,,,,,,,,,
