Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,17.99,28.97,27.06,19.23,18.57,10.57,6.49,12.41,11.27,8.27,8.27
Accounts Receivable,,4.34,0.27,0.23,0.2,,,,,,
Inventory,60.75,54.21,58.08,64.38,57.47,69.98,75.48,70.01,72.16,75.81,75.81
Other Current Assets,,0.82,0.9,0.92,10.47,7.5,0.1,0.09,0.08,0.08,0.08
Total Current Assets,78.74,88.34,86.31,84.75,86.7,88.05,82.06,82.51,83.52,84.16,84.16
Net PP&E,0.85,0.86,1.02,1.07,1.0,1.2,1.9,1.29,1.69,2.67,2.67
Intangibles,0.21,0.24,0.27,0.3,0.54,0.44,0.93,0.78,0.69,0.66,0.66
Other Long-Term Assets,20.2,10.57,12.4,13.88,11.76,10.3,15.11,15.42,14.1,12.52,12.52
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.65,4.13,3.14,2.87,3.68,4.52,4.71,4.24,4.65,4.72,4.72
Short-Term Debt,48.62,,,,,,,,,,
Taxes Payable,,,,0.42,0.3,0.68,0.41,0.61,0.55,0.44,0.44
Accrued Liabilities,10.57,13.79,16.12,2.07,1.92,2.38,2.12,2.09,2.02,1.88,1.88
Other Short-Term Liabilities,,,,12.99,10.12,6.95,6.49,5.63,5.37,5.33,5.33
Total Current Liabilities,62.84,17.92,19.26,18.36,16.01,14.52,13.72,12.57,12.58,12.38,12.38
Long-Term Debt,,48.51,36.57,31.81,34.4,39.62,36.1,34.18,28.3,3.45,3.45
Other Long-Term Liabilities,0.4,0.13,0.16,0.92,0.04,0.03,0.04,0.39,0.35,20.59,20.59
Total Liabilities,63.24,66.56,56.0,51.09,50.44,54.17,49.86,47.14,41.24,36.42,36.42
Total Stockholders' Equity,36.76,33.44,44.0,48.91,49.56,45.83,50.14,52.86,58.76,63.58,63.58
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
