Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.14,0.53,0.31,1.15,4.66,1.76,3.19,6.87,9.18,15.55,12.1
Accounts Receivable,3.76,2.93,4.02,2.85,2.46,2.51,3.57,3.1,6.11,3.17,3.95
Inventory,1.13,0.84,1.57,1.79,2.1,1.51,1.79,1.61,1.02,1.1,1.14
Other Current Assets,3.85,1.02,1.05,6.57,3.61,2.27,5.51,4.22,4.76,0.22,0.43
Total Current Assets,8.88,5.31,6.95,12.37,12.84,8.04,14.06,15.8,21.08,20.04,17.62
Net PP&E,85.59,87.54,87.08,81.07,79.61,86.43,80.13,78.93,76.18,75.16,79.14
Intangibles,3.61,3.39,3.49,3.08,2.59,2.28,2.23,1.82,1.79,1.65,1.64
Other Long-Term Assets,1.92,3.76,2.48,3.48,4.97,3.25,3.58,3.44,0.94,3.15,1.6
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.39,3.9,2.86,3.67,5.62,5.59,7.41,8.02,5.27,4.5,6.16
Short-Term Debt,,,,,,,,,2.96,2.95,2.73
Taxes Payable,,0.04,0.2,0.2,0.08,,,0.01,0.01,,
Accrued Liabilities,,0.47,0.53,0.61,0.5,0.52,0.51,0.27,0.43,0.41,0.23
Other Short-Term Liabilities,7.15,3.18,2.86,3.47,2.58,1.81,2.25,2.29,0.98,1.65,1.29
Total Current Liabilities,11.54,7.58,6.44,7.95,8.78,7.92,10.17,10.59,9.65,9.51,10.42
Long-Term Debt,31.98,32.35,31.14,26.88,21.94,28.47,21.58,17.85,21.16,16.57,13.86
Other Long-Term Liabilities,21.17,20.98,22.54,22.6,21.65,20.08,14.55,14.07,13.97,10.7,11.4
Total Liabilities,64.69,60.91,60.12,57.43,52.37,56.47,46.3,42.51,44.78,36.79,35.68
Total Stockholders' Equity,35.31,39.09,39.88,42.57,47.63,43.53,53.7,57.49,55.22,63.21,64.32
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
