Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,42.37,53.34,62.09,68.07,69.4,73.38,41.79,42.89,50.89,4.96,4.96
Accounts Receivable,10.2,8.84,8.94,6.6,6.05,5.09,5.78,6.61,5.99,3.26,3.26
Inventory,10.18,7.44,6.41,5.59,5.58,4.44,5.36,5.84,4.72,2.61,2.61
Other Current Assets,4.85,3.54,2.92,2.85,2.53,2.84,2.64,2.43,0.81,0.3,0.3
Total Current Assets,67.6,73.16,80.37,83.11,83.56,85.75,55.57,57.77,62.42,11.12,11.12
Net PP&E,18.36,14.0,10.92,9.07,8.91,7.96,9.07,9.12,7.98,5.24,5.24
Intangibles,8.01,7.57,5.94,5.44,5.56,4.9,33.73,31.44,27.96,82.95,82.95
Other Long-Term Assets,6.03,5.27,2.78,2.37,1.97,1.39,1.63,1.68,1.64,0.69,0.69
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.22,3.15,3.07,2.14,2.08,1.88,2.03,2.47,2.15,1.12,1.12
Short-Term Debt,,,,0.27,0.26,,,5.31,,1.42,1.42
Taxes Payable,,0.19,1.4,0.12,0.11,0.71,0.92,0.21,0.05,0.41,0.41
Accrued Liabilities,6.19,3.59,4.78,2.99,1.51,2.47,3.34,3.07,3.21,2.36,2.36
Other Short-Term Liabilities,8.0,4.43,5.61,4.42,5.38,3.88,4.06,4.71,4.41,2.24,2.24
Total Current Liabilities,18.41,11.36,14.86,9.95,9.34,8.94,10.34,15.77,9.82,7.55,7.55
Long-Term Debt,,11.15,9.26,16.52,14.36,13.67,12.72,7.06,21.73,35.72,35.72
Other Long-Term Liabilities,3.29,3.2,1.96,1.62,2.19,3.12,7.58,5.34,3.63,8.67,8.67
Total Liabilities,21.7,25.71,26.08,28.08,25.89,25.73,30.64,28.17,35.19,51.94,51.94
Total Stockholders' Equity,78.3,74.29,73.92,71.92,74.11,74.27,69.36,71.83,64.81,48.06,48.06
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
