Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3437.0,3681.0,3427.0,3262.0,3221.0,3095.0,3277.0,3350.0,3253.0,3320.0,3323.0
Gross Margin %,65.0,50.3,49.1,48.4,49.1,50.2,50.0,50.7,52.6,52.5,54.4
Operating Income USD Mil,763.0,489.0,396.0,560.0,513.0,520.0,533.0,544.0,577.0,537.0,624.0
Operating Margin %,22.2,13.3,11.6,17.2,15.9,16.8,16.3,16.2,17.7,16.2,18.8
Net Income USD Mil,425.0,306.0,129.0,306.0,321.0,335.0,376.0,393.0,388.0,381.0,436.0
Earnings Per Share USD,1.89,1.3,0.51,1.3,1.37,1.44,1.61,1.73,1.68,1.64,1.87
Dividends USD,0.64,0.7,0.75,0.79,0.85,0.9,0.94,1.02,1.1,1.18,1.24
Payout Ratio % *,33.6,55.1,148.5,60.3,63.0,61.4,55.9,56.6,59.9,76.1,66.6
Shares Mil,225.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,225.0,227.0,229.0
Book Value Per Share * USD,12.15,12.78,13.36,13.88,13.52,14.12,14.72,15.48,16.5,16.95,17.97
Operating Cash Flow USD Mil,588.0,320.0,657.0,984.0,703.0,841.0,731.0,892.0,871.0,860.0,1089.0
Cap Spending USD Mil,-542.0,-879.0,,,-608.0,-404.0,,,,,
Free Cash Flow USD Mil,46.0,-560.0,657.0,984.0,94.0,438.0,731.0,892.0,871.0,860.0,922.0
Free Cash Flow Per Share * USD,0.2,-2.54,2.98,4.46,4.56,1.98,1.66,3.56,3.26,3.66,
Working Capital USD Mil,535.0,407.0,303.0,226.0,12.0,-25.0,-422.0,-171.0,-533.0,-284.0,
