Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,9.71,2.45,5.24,4.45,5.09,5.29,13.6,10.05,6.01,10.88,5.96
Accounts Receivable,1.18,9.35,4.53,7.61,0.62,0.86,0.88,1.22,1.06,1.01,1.05
Inventory,,,0.12,0.24,0.26,0.35,0.4,0.4,0.37,0.38,0.33
Other Current Assets,52.68,46.74,41.05,41.52,53.21,47.93,55.12,63.03,63.16,60.84,60.49
Total Current Assets,63.57,58.54,50.94,53.82,59.18,54.43,69.99,74.7,70.6,73.11,67.83
Net PP&E,14.09,24.26,32.21,30.19,22.33,23.65,1.84,1.82,10.94,5.96,11.46
Intangibles,,,0.11,0.07,,,,,,,
Other Long-Term Assets,22.34,17.2,16.74,15.92,18.49,21.92,28.17,23.48,18.46,20.93,20.7
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,6.61,6.88,8.68,11.24,7.7,5.89,8.17,,,,
Short-Term Debt,4.79,23.95,18.07,25.08,26.99,19.74,10.76,18.8,27.42,22.88,26.52
Taxes Payable,0.86,0.32,0.95,0.74,0.7,0.6,1.93,0.39,0.75,1.82,0.02
Accrued Liabilities,1.28,1.53,0.36,0.41,,,,,,,
Other Short-Term Liabilities,20.39,12.15,7.04,6.76,11.8,18.01,15.56,25.1,18.6,20.89,18.28
Total Current Liabilities,33.93,44.83,35.09,44.23,47.18,44.24,36.42,44.29,46.77,45.59,44.82
Long-Term Debt,24.87,19.07,27.1,20.83,22.7,21.23,19.97,24.5,28.79,29.05,31.72
Other Long-Term Liabilities,8.75,8.61,7.6,6.46,6.99,3.58,11.25,3.42,2.78,2.96,3.0
Total Liabilities,67.55,72.5,69.79,71.52,76.88,69.05,67.64,72.2,78.35,77.59,79.54
Total Stockholders' Equity,32.45,27.5,30.21,28.48,23.12,30.95,32.36,27.8,21.65,22.41,20.46
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
