Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,19020.0,16008.0,17897.0,16896.0,19229.0,24103.0,25075.0,28317.0,26260.0,29909.0,34634.0
Gross Margin %,31.4,32.8,32.0,33.2,32.5,34.5,36.2,35.7,34.1,34.4,34.5
Operating Income THB Mil,3589.0,3466.0,4180.0,3319.0,3207.0,4793.0,7689.0,11393.0,10573.0,11073.0,13652.0
Operating Margin %,18.9,21.7,23.4,19.6,16.7,19.9,30.7,40.2,40.3,37.0,39.4
Net Income THB Mil,3159.0,3360.0,3908.0,3971.0,5609.0,5682.0,6478.0,8423.0,7920.0,8618.0,10506.0
Earnings Per Share THB,0.28,0.29,0.33,0.33,0.47,0.47,0.54,0.74,0.67,0.72,0.87
Dividends THB,0.23,0.33,0.3,0.22,0.29,0.44,0.33,0.38,0.65,0.7,0.7
Payout Ratio % *,81.8,81.8,114.3,91.9,66.0,75.4,78.1,63.2,98.5,82.3,80.4
Shares Mil,11577.0,11907.0,12031.0,12031.0,12031.0,12031.0,12031.0,11333.0,11835.0,11928.0,11956.0
Book Value Per Share * THB,2.3,1.99,2.09,2.19,2.3,2.51,2.73,3.57,3.68,3.78,3.94
Operating Cash Flow THB Mil,3278.0,153.0,4315.0,-752.0,-989.0,5008.0,662.0,2590.0,1557.0,7278.0,6885.0
Cap Spending THB Mil,-1765.0,-703.0,-1.0,-1378.0,-2410.0,-758.0,,,,-1778.0,-1400.0
Free Cash Flow THB Mil,1513.0,-549.0,4314.0,-2129.0,-3399.0,4250.0,662.0,2590.0,1557.0,5500.0,5485.0
Free Cash Flow Per Share * THB,0.13,0.13,-0.05,-0.16,-0.21,0.27,-0.1,0.09,0.22,0.58,
Working Capital THB Mil,17649.0,18820.0,18350.0,20823.0,21525.0,23682.0,27549.0,35356.0,43332.0,33736.0,
